*Hour,Load
1,98.5
2,94.7
3,91
4,88.7
5,87.8
6,88.5
7,90.4
8,93.2
9,97.8
10,103
11,106.3
12,107.5
13,110.2
14,111.3
15,111.7
16,113.6
17,119.7
18,121.4
19,119
20,115.5
21,111.8
22,106.8
23,101
24,95
25,90.4
26,87.2
27,85.4
28,84.9
29,86
30,88.3
31,91.9
32,96.4
33,102
34,107.9
35,109.9
36,111.7
37,113
38,113.1
39,113.5
40,115.4
41,121.5
42,123.7
43,121
44,117.6
45,113.3
46,107.4
47,100.7
48,94
49,89.1
50,86.1
51,84.7
52,84.3
53,86.2
54,90.1
55,95.7
56,102.3
57,108.5
58,113.4
59,114.2
60,115.1
61,115.3
62,116
63,116.2
64,117.7
65,123.2
66,126.2
67,124.9
68,121.4
69,116.8
70,110.9
71,103.3
72,96.3
73,91.7
74,88.5
75,87.1
76,86.6
77,87.9
78,91.7
79,97.4
80,103.6
81,109.5
82,113.5
83,113.3
84,113.9
85,113.7
86,113.8
87,114.4
88,116
89,122.3
90,124.7
91,122.5
92,118.7
93,114.6
94,109.2
95,102.1
96,95.5
97,90.2
98,87.3
99,85.8
100,85.5
101,87
102,90.7
103,96.7
104,103.4
105,109.6
106,113.9
107,114.5
108,115.5
109,115.3
110,115.1
111,114.8
112,117.3
113,123.8
114,127.4
115,126
116,123.4
117,119.4
118,114.1
119,107.3
120,100.9
121,96.6
122,93.9
123,92.6
124,92.5
125,94.2
126,98.2
127,104.3
128,110.5
129,117
130,121.8
131,122.3
132,122.9
133,122
134,121.8
135,121.7
136,122.7
137,128.7
138,131.9
139,129.2
140,126
141,122.2
142,117
143,111.1
144,105.2
145,100.4
146,97.4
147,95.5
148,94.9
149,95.6
150,97.4
151,100.9
152,105.6
153,112.1
154,118.1
155,120.7
156,122.1
157,122.4
158,122
159,122
160,123
161,129.9
162,134.3
163,132.7
164,129.8
165,126.3
166,121.8
167,116.1
168,110.2
169,106.1
170,102.7
171,100.7
172,100
173,100.3
174,101.7
175,105.1
176,110.4
177,117.2
178,123.1
179,124.8
180,126.2
181,127.6
182,128
183,127.7
184,129.3
185,135.2
186,136.9
187,135.1
188,131.1
189,126
190,119.5
191,110.7
192,102.5
193,97.8
194,95.2
195,93.8
196,93.6
197,95.2
198,99.9
199,107.5
200,114.9
201,121
202,124.7
203,123.2
204,122.7
205,121.5
206,120.7
207,120.6
208,123.2
209,129.6
210,133.6
211,131.2
212,127.4
213,122.5
214,115.7
215,107.2
216,99.8
217,95.3
218,92.6
219,91.2
220,90.7
221,92.2
222,96.8
223,104.3
224,110.9
225,116.9
226,119.8
227,119.7
228,118.8
229,118
230,117.9
