*Hour,FixedDemCharge
1,12570
2,12570
3,12570
4,12570
5,12570
6,12570
7,12570
8,12570
9,12570
10,12570
11,12570
12,12570
13,12570
14,12570
15,12570
16,12570
17,12570
18,12570
19,12570
20,12570
21,12570
22,12570
23,12570
24,12570
25,12570
26,12570
27,12570
28,12570
29,12570
30,12570
31,12570
32,12570
33,12570
34,12570
35,12570
36,12570
37,12570
38,12570
39,12570
40,12570
41,12570
42,12570
43,12570
44,12570
45,12570
46,12570
47,12570
48,12570
49,12570
50,12570
51,12570
52,12570
53,12570
54,12570
55,12570
56,12570
57,12570
58,12570
59,12570
60,12570
61,12570
62,12570
63,12570
64,12570
65,12570
66,12570
67,12570
68,12570
69,12570
70,12570
71,12570
72,12570
73,12570
74,12570
75,12570
76,12570
77,12570
78,12570
79,12570
80,12570
81,12570
82,12570
83,12570
84,12570
85,12570
86,12570
87,12570
88,12570
89,12570
90,12570
91,12570
92,12570
93,12570
94,12570
95,12570
96,12570
97,12570
98,12570
99,12570
100,12570
101,12570
102,12570
103,12570
104,12570
105,12570
106,12570
107,12570
108,12570
109,12570
110,12570
111,12570
112,12570
113,12570
114,12570
115,12570
116,12570
117,12570
118,12570
119,12570
120,12570
121,12570
122,12570
123,12570
124,12570
125,12570
126,12570
127,12570
128,12570
129,12570
130,12570
131,12570
132,12570
133,12570
134,12570
135,12570
136,12570
137,12570
138,12570
139,12570
140,12570
141,12570
142,12570
143,12570
144,12570
145,12570
146,12570
147,12570
148,12570
149,12570
150,12570
151,12570
152,12570
153,12570
154,12570
155,12570
156,12570
157,12570
158,12570
159,12570
160,12570
161,12570
162,12570
163,12570
164,12570
165,12570
166,12570
167,12570
168,12570
169,12570
170,12570
171,12570
172,12570
173,12570
174,12570
175,12570
176,12570
177,12570
178,12570
179,12570
180,12570
181,12570
182,12570
183,12570
184,12570
185,12570
186,12570
187,12570
188,12570
189,12570
190,12570
191,12570
192,12570
193,12570
194,12570
195,12570
196,12570
197,12570
198,12570
199,12570
200,12570
201,12570
202,12570
203,12570
204,12570
205,12570
206,12570
207,12570
208,12570
209,12570
210,12570
211,12570
212,12570
213,12570
214,12570
215,12570
216,12570
217,12570
218,12570
219,12570
220,12570
221,12570
222,12570
223,12570
224,12570
225,12570
226,12570
227,12570
228,12570
229,12570
230,12570
231,12570
232,12570
233,12570
234,12570
235,12570
236,12570
237,12570
238,12570
239,12570
240,12570
241,12570
242,12570
243,12570
244,12570
245,12570
246,12570
247,12570
248,12570
249,12570
250,12570
251,12570
252,12570
253,12570
254,12570
