"Scenario","Hour","Solar PV Generation (MW)","Solar PV Curtailment (MW)","Wind Generation (MW)","Wind Curtailment (MW)","Gas CC Generation (MW)","Diesel Generation (MW)","Power from Storage and Gas CC to Storage (MW)","Imports (MW)","Exports (MW)","Hydropower (MW)"
"1","1",0.00000,0.00000,221.81124,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","2",0.00000,0.00000,244.00733,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","3",0.00000,0.00000,156.23865,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","4",0.00000,0.00000,36.11443,0.00000,0.00000,0.00000,0.00000,52.58557,0.00000,0.00000
"1","5",0.00000,0.00000,36.38746,0.00000,0.00000,0.00000,0.00000,51.41254,0.00000,0.00000
"1","6",0.00000,0.00000,13.12795,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","7",0.00000,0.00000,15.87004,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","8",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","9",0.00000,0.00000,26.73103,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","10",0.00000,0.00000,22.36612,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","11",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","12",36.29427,0.00000,4.21639,0.00000,0.00000,0.00000,0.00000,66.98935,0.00000,0.00000
"1","13",7.30564,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","14",13.11341,0.00000,2.56676,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","15",7.91921,0.00000,24.68268,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","16",2.52137,0.00000,11.12387,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","17",0.00000,0.00000,2.59253,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","18",0.00000,0.00000,0.83023,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","19",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","20",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","21",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","22",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","23",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","24",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","25",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","26",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","27",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","28",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","29",0.00000,0.00000,26.00131,0.00000,0.00000,0.00000,0.00000,59.99869,0.00000,0.00000
"1","30",0.00000,0.00000,55.91012,0.00000,0.00000,0.00000,0.00000,32.38988,0.00000,0.00000
"1","31",0.00000,0.00000,60.39382,0.00000,0.00000,0.00000,0.00000,31.50618,0.00000,0.00000
"1","32",0.00000,0.00000,40.95725,0.00000,0.00000,0.00000,0.00000,55.44275,0.00000,0.00000
"1","33",0.00000,0.00000,19.48597,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","34",0.00000,0.00000,14.25143,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","35",0.00000,0.00000,50.81845,0.00000,0.00000,0.00000,0.00000,59.08155,0.00000,0.00000
"1","36",2.81895,0.00000,3.04876,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","37",101.23724,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.76276,0.00000,0.00000
"1","38",112.95545,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14455,0.00000,0.00000
"1","39",63.87596,0.00000,0.75599,0.00000,0.00000,0.00000,0.00000,48.86805,0.00000,0.00000
"1","40",3.45549,0.00000,4.87255,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","41",0.00000,0.00000,8.63772,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","42",0.00000,0.00000,60.69718,0.00000,0.00000,0.00000,0.00000,63.00282,0.00000,0.00000
"1","43",0.00000,0.00000,142.59938,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","44",0.00000,0.00000,71.77985,0.00000,0.00000,0.00000,0.00000,45.82015,0.00000,0.00000
"1","45",0.00000,0.00000,73.73227,0.00000,0.00000,0.00000,0.00000,39.56773,0.00000,0.00000
"1","46",0.00000,0.00000,59.82387,0.00000,0.00000,0.00000,0.00000,47.57613,0.00000,0.00000
"1","47",0.00000,0.00000,94.28033,0.00000,0.00000,0.00000,0.00000,6.41967,0.00000,0.00000
"1","48",0.00000,0.00000,11.40285,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","49",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","50",0.00000,0.00000,28.06021,0.00000,0.00000,0.00000,0.00000,58.03979,0.00000,0.00000
"1","51",0.00000,0.00000,112.47268,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","52",0.00000,0.00000,153.16090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","53",0.00000,0.00000,176.80208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","54",0.00000,0.00000,36.68909,0.00000,0.00000,0.00000,0.00000,53.41091,0.00000,0.00000
"1","55",0.00000,0.00000,129.29526,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","56",0.00000,0.00000,63.50938,0.00000,0.00000,0.00000,0.00000,38.79062,0.00000,0.00000
"1","57",0.00000,0.00000,49.27927,0.00000,0.00000,0.00000,0.00000,59.22073,0.00000,0.00000
"1","58",0.00000,0.00000,79.30779,0.00000,0.00000,0.00000,0.00000,34.09221,0.00000,0.00000
"1","59",0.00000,0.00000,31.87712,0.00000,0.00000,0.00000,0.00000,43.32328,0.00000,0.00000
"1","60",49.77028,0.00000,39.54700,0.00000,0.00000,0.00000,0.00000,25.78272,0.00000,0.00000
"1","61",113.16244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.13756,0.00000,0.00000
"1","62",126.71791,0.00000,25.13343,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","63",72.15670,0.00000,101.64849,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","64",35.56140,0.00000,147.46250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","65",0.00000,0.00000,120.62057,0.00000,0.00000,0.00000,0.00000,2.57943,0.00000,0.00000
"1","66",0.00000,0.00000,135.58297,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","67",0.00000,0.00000,90.74876,0.00000,0.00000,0.00000,0.00000,34.15124,0.00000,0.00000
"1","68",0.00000,0.00000,77.09054,0.00000,0.00000,0.00000,0.00000,44.30946,0.00000,0.00000
"1","69",0.00000,0.00000,51.43728,0.00000,0.00000,0.00000,0.00000,65.36272,0.00000,0.00000
"1","70",0.00000,0.00000,59.76802,0.00000,0.00000,0.00000,0.00000,51.13198,0.00000,0.00000
"1","71",0.00000,0.00000,73.84060,0.00000,0.00000,0.00000,0.00000,29.45940,0.00000,0.00000
"1","72",0.00000,0.00000,85.43111,0.00000,0.00000,0.00000,0.00000,10.86889,0.00000,0.00000
"1","73",0.00000,0.00000,70.62880,0.00000,0.00000,0.00000,0.00000,21.07120,0.00000,0.00000
"1","74",0.00000,0.00000,36.37711,0.00000,0.00000,0.00000,0.00000,52.12289,0.00000,0.00000
"1","75",0.00000,0.00000,36.61857,0.00000,0.00000,0.00000,0.00000,50.48143,0.00000,0.00000
"1","76",0.00000,0.00000,39.09953,0.00000,0.00000,0.00000,0.00000,47.50047,0.00000,0.00000
"1","77",0.00000,0.00000,37.78511,0.00000,0.00000,0.00000,0.00000,50.11489,0.00000,0.00000
"1","78",0.00000,0.00000,30.44288,0.00000,0.00000,0.00000,0.00000,61.25712,0.00000,0.00000
"1","79",0.00000,0.00000,42.54757,0.00000,0.00000,0.00000,0.00000,54.85243,0.00000,0.00000
"1","80",0.00000,0.00000,74.68747,0.00000,0.00000,0.00000,0.00000,28.91253,0.00000,0.00000
"1","81",0.00000,0.00000,84.67105,0.00000,0.00000,0.00000,0.00000,24.82895,0.00000,0.00000
"1","82",0.00000,0.00000,80.03464,0.00000,0.00000,0.00000,0.00000,33.46536,0.00000,0.00000
"1","83",0.00000,0.00000,97.25129,0.00000,0.00000,0.00000,0.00000,16.04871,0.00000,0.00000
"1","84",55.05324,0.00000,99.32742,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","85",123.16168,0.00000,50.94605,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","86",132.67712,0.00000,36.88197,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","87",13.52682,0.00000,29.29705,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","88",4.06430,0.00000,34.92873,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","89",0.00000,0.00000,22.35474,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","90",0.00000,0.00000,16.36117,0.00000,0.00000,0.00000,0.00000,68.75610,0.00000,0.00000
"1","91",0.00000,0.00000,56.10915,0.00000,0.00000,0.00000,0.00000,66.39085,0.00000,0.00000
