"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Li-Ion","1",74.99985,0.00000,345.73224
"1","Vanadium","1",0.00000,0.00000,0.00000
"1","PHS","1",0.00000,0.00000,0.00000
"1","H2","1",48.31139,0.00000,17831.87912
"1","Li-Ion","2",43.91977,0.00000,386.22427
"1","Vanadium","2",0.00000,0.00000,0.00000
"1","PHS","2",0.00000,0.00000,0.00000
"1","H2","2",105.38756,0.00000,17898.53206
"1","Li-Ion","3",65.23865,0.00000,446.37133
"1","Vanadium","3",0.00000,0.00000,0.00000
"1","PHS","3",0.00000,0.00000,0.00000
"1","H2","3",0.00000,0.00000,17898.53206
"1","Li-Ion","4",0.00000,0.00000,446.37133
"1","Vanadium","4",0.00000,0.00000,0.00000
"1","PHS","4",0.00000,0.00000,0.00000
"1","H2","4",0.00000,0.00000,17898.53206
"1","Li-Ion","5",0.00000,0.00000,446.37133
"1","Vanadium","5",0.00000,0.00000,0.00000
"1","PHS","5",0.00000,0.00000,0.00000
"1","H2","5",0.00000,0.00000,17898.53206
"1","Li-Ion","6",0.00000,0.00000,446.37133
"1","Vanadium","6",0.00000,0.00000,0.00000
"1","PHS","6",0.00000,0.00000,0.00000
"1","H2","6",0.00000,6.61596,17888.07132
"1","Li-Ion","7",0.00000,0.00000,446.37133
"1","Vanadium","7",0.00000,0.00000,0.00000
"1","PHS","7",0.00000,0.00000,0.00000
"1","H2","7",0.00000,5.77386,17878.94205
"1","Li-Ion","8",0.00000,0.00000,446.37133
"1","Vanadium","8",0.00000,0.00000,0.00000
"1","PHS","8",0.00000,0.00000,0.00000
"1","H2","8",0.00000,24.44390,17840.29285
"1","Li-Ion","9",0.00000,0.00000,446.37133
"1","Vanadium","9",0.00000,0.00000,0.00000
"1","PHS","9",0.00000,0.00000,0.00000
"1","H2","9",0.00000,2.31287,17836.63588
"1","Li-Ion","10",0.00000,0.00000,446.37133
"1","Vanadium","10",0.00000,0.00000,0.00000
"1","PHS","10",0.00000,0.00000,0.00000
"1","H2","10",0.00000,11.87778,17817.85545
"1","Li-Ion","11",0.00000,0.00000,446.37133
"1","Vanadium","11",0.00000,0.00000,0.00000
"1","PHS","11",0.00000,0.00000,0.00000
"1","H2","11",0.00000,37.54390,17758.49333
"1","Li-Ion","12",0.00000,0.00000,446.37133
"1","Vanadium","12",0.00000,0.00000,0.00000
"1","PHS","12",0.00000,0.00000,0.00000
"1","H2","12",0.00000,0.00000,17758.49333
"1","Li-Ion","13",0.00000,0.00000,446.37133
"1","Vanadium","13",0.00000,0.00000,0.00000
"1","PHS","13",0.00000,0.00000,0.00000
"1","H2","13",0.00000,34.13826,17704.51601
"1","Li-Ion","14",0.00000,0.00000,446.37133
"1","Vanadium","14",0.00000,0.00000,0.00000
"1","PHS","14",0.00000,0.00000,0.00000
"1","H2","14",0.00000,26.86373,17662.04072
"1","Li-Ion","15",0.00000,10.34201,435.15384
"1","Vanadium","15",0.00000,0.00000,0.00000
"1","PHS","15",0.00000,0.00000,0.00000
"1","H2","15",0.00000,0.00000,17662.04072
"1","Li-Ion","16",0.00000,0.00000,435.15384
"1","Vanadium","16",0.00000,0.00000,0.00000
"1","PHS","16",0.00000,0.00000,0.00000
"1","H2","16",0.00000,31.19866,17612.71131
"1","Li-Ion","17",0.00000,0.00000,435.15384
"1","Vanadium","17",0.00000,0.00000,0.00000
"1","PHS","17",0.00000,0.00000,0.00000
"1","H2","17",0.00000,48.35138,17536.26107
"1","Li-Ion","18",0.00000,51.81367,378.95402
"1","Vanadium","18",0.00000,0.00000,0.00000
