"Metric","Technology","Scenario","Optimal Value","Unit"
"Total cost","","1",201971627.28415,"US$"
"Cost of energy","","1",74.73650,"US$/MWh"
"Capacity","GasCC","1",0.00000,"MW"
"Capacity","Diesel","1",0.00000,"MW"
"Capacity","Solar PV","1",0.00000,"MW"
"Capacity","Wind","1",0.00000,"MW"
"Capacity","All generation","1",0.00000,"MW"
"Total generation","GasCC","1",0.00000,"MWh"
"Total generation","Diesel","1",0.00000,"MWh"
"Total generation","Solar PV","1",0.00000,"MWh"
"Total generation","Wind","1",0.00000,"MWh"
"Total generation","Other renewables","1",0.00000,"MWh"
"Total generation","Hydro","1",0.00000,"MWh"
"Total generation","Nuclear","1",0.00000,"MWh"
"Total generation","Li-Ion","1",0.00000,"MWh"
"Total generation","Vanadium","1",0.00000,"MWh"
"Total generation","PHS","1",0.00000,"MWh"
"Total generation","H2","1",7075.20000,"MWh"
"Total generation","All technologies","1",7075.20000,"MWh"
"Imports","Grid","1",0.00000,"MWh"
"Exports","Grid","1",0.00000,"MWh"
"Storage energy charging","Li-Ion","1",0.00000,"MWh"
"Storage energy charging","Vanadium","1",0.00000,"MWh"
"Storage energy charging","PHS","1",0.00000,"MWh"
"Storage energy charging","H2","1",0.00000,"MWh"
"Storage energy charging","All storage","1",0.00000,"MWh"
"Total demand","","1",835676.10000,"MWh"
"CAPEX","GasCC","1",0.00000,"US$"
"CAPEX","Diesel","1",0.00000,"US$"
"CAPEX","Solar PV","1",0.00000,"US$"
"CAPEX","Wind","1",0.00000,"US$"
"CAPEX","All generation","1",0.00000,"US$"
"Power Capex","Li-Ion","1",0.00000,"US$"
"Power Capex","Vanadium","1",0.00000,"US$"
"Power Capex","PHS","1",0.00000,"US$"
"Power Capex","H2","1",39083939.55648,"US$"
"Total Power Capex","All storage","1",39083939.55648,"US$"
"Energy Capex","Li-Ion","1",0.00000,"US$"
"Energy Capex","Vanadium","1",0.00000,"US$"
"Energy Capex","PHS","1",0.00000,"US$"
"Energy Capex","H2","1",16591163.79169,"US$"
"Total Energy Capex","All storage","1",16591163.79169,"US$"
"Total Capex","Li-Ion","1",0.00000,"US$"
"Total Capex","Vanadium","1",0.00000,"US$"
"Total Capex","PHS","1",0.00000,"US$"
"Total Capex","H2","1",55675103.34817,"US$"
"Total Capex","All storage","1",55675103.34817,"US$"
"FOM","GasCC","1",0.00000,"US$"
"FOM","Diesel","1",0.00000,"US$"
"FOM","Solar PV","1",0.00000,"US$"
"FOM","Wind","1",0.00000,"US$"
"FOM","Li-Ion","1",0.00000,"US$"
"FOM","Vanadium","1",0.00000,"US$"
"FOM","PHS","1",0.00000,"US$"
"FOM","H2","1",6780400.00000,"US$"
"FOM","All technologies","1",6780400.00000,"US$"
"VOM","GasCC","1",0.00000,"US$"
"VOM","Diesel","1",0.00000,"US$"
"VOM","Li-Ion","1",0.00000,"US$"
"VOM","Vanadium","1",0.00000,"US$"
"VOM","PHS","1",0.00000,"US$"
"VOM","H2","1",0.00000,"US$"
"VOM","Grid Imports","1",0.00000,"US$"
"VOM","Grid Exports","1",0.00000,"US$"
"VOM","Demand Charges","1",0.00000,"US$"
"VOM","All technologies","1",0.00000,"US$"
"OPEX","GasCC","1",0.00000,"US$"
"OPEX","Diesel","1",0.00000,"US$"
"OPEX","Solar PV","1",0.00000,"US$"
"OPEX","Wind","1",0.00000,"US$"
"OPEX","Li-Ion","1",0.00000,"US$"
"OPEX","Vanadium","1",0.00000,"US$"
"OPEX","PHS","1",0.00000,"US$"
"OPEX","H2","1",6780400.00000,"US$"
"OPEX","All technologies","1",6780400.00000,"US$"
"Average added storage cost","All storage","1",8827.38344,"US$/MWh"
"Average storage cost","All storage","1",423714.40535,"US$/MW"
"Charge power capacity","Li-Ion","1",0.00000,"MW"
"Charge power capacity","Vanadium","1",0.00000,"MW"
"Charge power capacity","PHS","1",0.00000,"MW"
"Charge power capacity","H2","1",147.40000,"MW"
"Charge power capacity","All storage","1",147.40000,"MW"
"Discharge power capacity","Li-Ion","1",0.00000,"MW"
"Discharge power capacity","Vanadium","1",0.00000,"MW"
"Discharge power capacity","PHS","1",0.00000,"MW"
"Discharge power capacity","H2","1",147.40000,"MW"
"Discharge power capacity","All storage","1",147.40000,"MW"
"Average power capacity","Li-Ion","1",0.00000,"MW"
"Average power capacity","Vanadium","1",0.00000,"MW"
"Average power capacity","PHS","1",0.00000,"MW"
"Average power capacity","H2","1",147.40000,"MW"
"Average power capacity","All storage","1",147.40000,"MW"
"Energy capacity","Li-Ion","1",0.00000,"MWh"
"Energy capacity","Vanadium","1",0.00000,"MWh"
"Energy capacity","PHS","1",0.00000,"MWh"
"Energy capacity","H2","1",10953.81359,"MWh"
"Energy capacity","All storage","1",10953.81359,"MWh"
"Discharge duration","Li-Ion","1",0.00000,"h"
"Discharge duration","Vanadium","1",0.00000,"h"
"Discharge duration","PHS","1",0.00000,"h"
"Discharge duration","H2","1",47.00000,"h"
"Equivalent number of cycles","Li-Ion","1",0.00000,"-"
"Equivalent number of cycles","Vanadium","1",0.00000,"-"
"Equivalent number of cycles","PHS","1",0.00000,"-"
"Equivalent number of cycles","H2","1",0.64591,"-"
"Renewables footprint","Solar and Wind","1",0.00000,"acres"
