*Hour,Load
1,3.24965
2,3.19965
3,3.11066
4,3.05032
5,2.97037
6,2.98683
7,3.09655
8,3.26422
9,3.57233
10,3.78589
11,3.78427
12,3.59393
13,3.35793
14,3.1429
15,3.07584
16,3.14497
17,3.2502
18,3.57899
19,3.9056
20,3.98838
21,3.96726
22,4.00083
23,3.82978
24,3.5265
25,3.02055
26,3.02692
27,2.97378
28,2.93235
29,2.93612
30,2.99651
31,3.11039
32,3.34304
33,3.71026
34,3.95702
35,3.99426
36,3.74481
37,3.44371
38,3.20592
39,3.16034
40,3.32017
41,3.44444
42,3.69442
43,3.92858
44,3.95619
45,3.81821
46,3.70694
47,3.42003
48,3.04149
49,2.64172
50,2.59436
51,2.48432
52,2.42095
53,2.38745
54,2.45043
55,2.58351
56,2.80541
57,3.02226
58,3.32173
59,3.47583
60,3.59755
61,3.64276
62,3.67315
63,3.59543
64,3.60236
65,3.64528
66,3.79947
67,3.94358
68,3.72553
69,3.54863
70,3.4493
71,3.10246
72,2.76236
73,2.53868
74,2.32759
75,2.28602
76,2.2208
77,2.21823
78,2.27343
79,2.40474
80,2.59128
81,2.87028
82,3.06288
83,3.14334
84,3.09972
85,3.03601
86,2.97576
87,3.07644
88,3.06851
89,3.13392
90,3.21684
91,3.4757
92,3.47388
93,3.33534
94,3.22431
95,2.99707
96,2.72803
97,2.51658
98,2.3103
99,2.24879
100,2.23176
101,2.22075
102,2.24782
103,2.41873
104,2.63841
105,2.92092
106,3.20032
107,3.04744
108,3.06437
109,3.22235
110,3.14761
111,3.08962
112,3.15256
113,3.16278
114,3.34813
115,3.57139
116,3.53861
117,3.38999
118,3.30456
119,3.06627
120,2.8054
121,2.489
122,2.25651
123,2.16002
124,2.13452
125,2.12698
126,2.15016
127,2.34849
128,2.57773
129,2.82612
130,3.01726
131,3.13189
132,3.19341
133,3.18685
134,3.20941
135,3.22192
136,3.20479
137,3.30875
138,3.43928
139,3.58068
140,3.5339
141,3.35214
142,3.21403
143,2.97534
144,2.7226
145,2.56101
146,2.32119
147,2.19862
148,2.17894
149,2.16093
150,2.19902
151,2.38057
152,2.59768
153,2.8961
154,3.1365
155,3.22234
156,3.29562
157,3.31756
158,3.38732
159,3.27121
160,3.23581
161,3.1363
162,3.35489
163,3.58808
164,3.62906
165,3.51081
166,3.41627
167,3.22792
168,2.97604
169,2.75485
170,2.59723
171,2.56514
172,2.54449
173,2.54193
174,2.56982
175,2.65221
176,2.85142
177,3.10019
178,3.43841
179,3.47052
180,3.36134
181,3.14352
182,2.94053
183,2.89588
184,2.92607
185,2.96877
186,3.28351
187,3.64232
188,3.68181
189,3.56346
190,3.52113
191,3.35784
192,3.09174
193,2.71987
194,2.69202
195,2.63412
196,2.58022
197,2.55293
198,2.57583
199,2.69473
200,2.88616
201,3.15605
202,3.34225
203,3.30416
204,3.09256
205,2.93057
206,2.80794
207,2.69984
208,2.85391
209,2.95346
210,3.24185
211,3.52715
212,3.51351
213,3.4643
214,3.39567
215,3.14242
216,2.83238
217,2.52822
218,2.53009
