ScalarInputs,Value
FCR_VRE,0
LifeTimeVRE,30
GenMix_Target,0
AlphaNuclear,0
AlphaLargHy,0
AlphaOtheRe,0
r,0.06
FCR_GasCC,0
LifeTimeGasCC,30
max_backup_power_dur,72
outage_start_hour,5950
SOC_restore_hours,72
CriticalLoadFrac,1
MaxCycles,3250
CapexGasCC,940.6078576
HR,6.4005
GasPrice,4.113894393
FOM_GasCC,13.2516707
VOM_GasCC,2.226321156
critical_peak_load,8.8069
pv_footprint,5.75
wind_footprint,32.5
total_available_footprint,28
LifeTimeDiesel,20
CapexDiesel,745
DieselPrice,3
FOM_Diesel,24
VOM_Diesel,0
HCDiesel,7.2
HRDiesel,12.04
Diesel_Storage_Cost,4.8
FOM_Diesel_storage,3.07
