*Hour,FixedDemCharge
1,3180
2,3180
3,3180
4,3180
5,3180
6,3180
7,3180
8,3180
9,3180
10,3180
11,3180
12,3180
13,3180
14,3180
15,3180
16,3180
17,3180
18,3180
19,3180
20,3180
21,3180
22,3180
23,3180
24,3180
25,3180
26,3180
27,3180
28,3180
29,3180
30,3180
31,3180
32,3180
33,3180
34,3180
35,3180
36,3180
37,3180
38,3180
39,3180
40,3180
41,3180
42,3180
43,3180
44,3180
45,3180
46,3180
47,3180
48,3180
49,3180
50,3180
51,3180
52,3180
53,3180
54,3180
55,3180
56,3180
57,3180
58,3180
59,3180
60,3180
61,3180
62,3180
63,3180
64,3180
65,3180
66,3180
67,3180
68,3180
69,3180
70,3180
71,3180
72,3180
73,3180
74,3180
75,3180
76,3180
77,3180
78,3180
79,3180
80,3180
81,3180
82,3180
83,3180
84,3180
85,3180
86,3180
87,3180
88,3180
89,3180
90,3180
91,3180
92,3180
93,3180
94,3180
95,3180
96,3180
97,3180
98,3180
99,3180
100,3180
101,3180
102,3180
103,3180
104,3180
105,3180
106,3180
107,3180
108,3180
109,3180
110,3180
111,3180
112,3180
113,3180
114,3180
115,3180
116,3180
117,3180
118,3180
119,3180
120,3180
121,3180
122,3180
123,3180
124,3180
125,3180
126,3180
127,3180
128,3180
129,3180
130,3180
131,3180
132,3180
133,3180
134,3180
135,3180
136,3180
137,3180
138,3180
139,3180
140,3180
141,3180
142,3180
143,3180
144,3180
145,3180
146,3180
147,3180
148,3180
149,3180
150,3180
151,3180
152,3180
153,3180
154,3180
155,3180
156,3180
157,3180
158,3180
159,3180
160,3180
161,3180
162,3180
163,3180
164,3180
165,3180
166,3180
167,3180
168,3180
169,3180
170,3180
171,3180
172,3180
173,3180
174,3180
175,3180
176,3180
177,3180
178,3180
179,3180
180,3180
181,3180
182,3180
183,3180
184,3180
185,3180
186,3180
187,3180
188,3180
189,3180
190,3180
191,3180
192,3180
193,3180
194,3180
195,3180
196,3180
197,3180
198,3180
199,3180
200,3180
201,3180
202,3180
203,3180
204,3180
205,3180
206,3180
207,3180
208,3180
209,3180
210,3180
211,3180
212,3180
213,3180
214,3180
215,3180
216,3180
217,3180
218,3180
219,3180
220,3180
221,3180
222,3180
223,3180
224,3180
225,3180
226,3180
227,3180
228,3180
229,3180
230,3180
231,3180
232,3180
233,3180
234,3180
235,3180
236,3180
237,3180
238,3180
239,3180
240,3180
241,3180
242,3180
243,3180
244,3180
245,3180
246,3180
247,3180
248,3180
249,3180
250,3180
251,3180
252,3180
253,3180
254,3180
255,3180
256,3180
257,3180
258,3180
259,3180
260,3180
261,3180
262,3180
263,3180
264,3180
265,3180
266,3180
267,3180
268,3180
269,3180
270,3180
271,3180
272,3180
273,3180
274,3180
275,3180
276,3180
277,3180
278,3180
279,3180
280,3180
281,3180
282,3180
283,3180
284,3180
285,3180
286,3180
287,3180
288,3180
289,3180
290,3180
291,3180
292,3180
293,3180
294,3180
295,3180
296,3180
297,3180
298,3180
299,3180
300,3180
301,3180
302,3180
303,3180
304,3180
305,3180
306,3180
307,3180
308,3180
309,3180
310,3180
311,3180
312,3180
313,3180
314,3180
315,3180
316,3180
317,3180
318,3180
319,3180
320,3180
321,3180
322,3180
323,3180
324,3180
325,3180
326,3180
327,3180
328,3180
329,3180
330,3180
331,3180
332,3180
333,3180
334,3180
335,3180
336,3180
337,3180
338,3180
339,3180
340,3180
341,3180
342,3180
343,3180
344,3180
345,3180
346,3180
347,3180
348,3180
349,3180
350,3180
351,3180
352,3180
353,3180
354,3180
355,3180
356,3180
357,3180
358,3180
359,3180
360,3180
361,3180
362,3180
363,3180
364,3180
365,3180
366,3180
367,3180
368,3180
369,3180
370,3180
371,3180
372,3180
373,3180
374,3180
375,3180
376,3180
377,3180
378,3180
379,3180
380,3180
381,3180
382,3180
383,3180
384,3180
385,3180
386,3180
387,3180
388,3180
389,3180
390,3180
391,3180
392,3180
393,3180
394,3180
395,3180
396,3180
397,3180
398,3180
399,3180
400,3180
401,3180
402,3180
403,3180
404,3180
405,3180
406,3180
407,3180
408,3180
409,3180
410,3180
411,3180
412,3180
413,3180
414,3180
415,3180
416,3180
417,3180
418,3180
419,3180
420,3180
421,3180
422,3180
423,3180
424,3180
425,3180
426,3180
427,3180
428,3180
429,3180
430,3180
431,3180
432,3180
433,3180
434,3180
435,3180
436,3180
437,3180
438,3180
439,3180
440,3180
441,3180
442,3180
443,3180
444,3180
445,3180
446,3180
447,3180
448,3180
449,3180
450,3180
451,3180
452,3180
453,3180
454,3180
455,3180
456,3180
457,3180
458,3180
459,3180
460,3180
461,3180
462,3180
463,3180
464,3180
465,3180
466,3180
467,3180
468,3180
469,3180
470,3180
471,3180
472,3180
473,3180
474,3180
475,3180
476,3180
477,3180
478,3180
479,3180
480,3180
481,3180
482,3180
483,3180
484,3180
485,3180
486,3180
487,3180
488,3180
489,3180
490,3180
491,3180
492,3180
493,3180
494,3180
495,3180
496,3180
497,3180
498,3180
499,3180
500,3180
501,3180
502,3180
503,3180
504,3180
505,3180
506,3180
507,3180
508,3180
509,3180
510,3180
511,3180
512,3180
513,3180
514,3180
515,3180
516,3180
517,3180
518,3180
519,3180
520,3180
521,3180
522,3180
523,3180
524,3180
525,3180
526,3180
527,3180
528,3180
529,3180
530,3180
531,3180
532,3180
533,3180
534,3180
535,3180
536,3180
537,3180
538,3180
539,3180
540,3180
541,3180
542,3180
543,3180
544,3180
545,3180
546,3180
547,3180
548,3180
549,3180
550,3180
551,3180
552,3180
553,3180
554,3180
555,3180
556,3180
557,3180
558,3180
559,3180
560,3180
561,3180
562,3180
563,3180
564,3180
565,3180
566,3180
567,3180
568,3180
569,3180
570,3180
571,3180
572,3180
573,3180
574,3180
575,3180
576,3180
577,3180
578,3180
579,3180
580,3180
581,3180
582,3180
583,3180
584,3180
585,3180
586,3180
587,3180
588,3180
589,3180
590,3180
591,3180
592,3180
593,3180
594,3180
595,3180
596,3180
597,3180
598,3180
599,3180
600,3180
601,3180
602,3180
603,3180
604,3180
605,3180
606,3180
607,3180
608,3180
609,3180
610,3180
611,3180
612,3180
613,3180
614,3180
615,3180
616,3180
617,3180
618,3180
619,3180
620,3180
621,3180
622,3180
623,3180
624,3180
625,3180
626,3180
627,3180
628,3180
629,3180
630,3180
631,3180
632,3180
633,3180
634,3180
635,3180
636,3180
637,3180
638,3180
639,3180
640,3180
641,3180
642,3180
643,3180
644,3180
645,3180
646,3180
647,3180
648,3180
649,3180
650,3180
651,3180
652,3180
653,3180
654,3180
655,3180
656,3180
657,3180
658,3180
659,3180
660,3180
661,3180
662,3180
663,3180
664,3180
665,3180
666,3180
667,3180
668,3180
669,3180
670,3180
671,3180
672,3180
673,3180
674,3180
675,3180
676,3180
677,3180
678,3180
679,3180
680,3180
681,3180
682,3180
683,3180
684,3180
685,3180
686,3180
687,3180
688,3180
689,3180
690,3180
691,3180
692,3180
693,3180
694,3180
695,3180
696,3180
697,3180
698,3180
699,3180
700,3180
701,3180
702,3180
703,3180
704,3180
705,3180
706,3180
707,3180
708,3180
709,3180
710,3180
711,3180
712,3180
713,3180
714,3180
715,3180
716,3180
717,3180
718,3180
719,3180
720,3180
721,3180
722,3180
723,3180
724,3180
725,3180
726,3180
727,3180
728,3180
729,3180
730,3180
731,3180
732,3180
733,3180
734,3180
735,3180
736,3180
737,3180
738,3180
739,3180
740,3180
741,3180
742,3180
743,3180
744,3180
745,3180
746,3180
747,3180
748,3180
749,3180
750,3180
751,3180
752,3180
753,3180
754,3180
755,3180
756,3180
757,3180
758,3180
759,3180
760,3180
761,3180
762,3180
763,3180
764,3180
765,3180
766,3180
767,3180
768,3180
769,3180
770,3180
771,3180
772,3180
773,3180
774,3180
775,3180
776,3180
777,3180
778,3180
779,3180
780,3180
781,3180
782,3180
783,3180
784,3180
785,3180
786,3180
787,3180
788,3180
789,3180
790,3180
791,3180
792,3180
793,3180
794,3180
795,3180
796,3180
797,3180
798,3180
799,3180
800,3180
801,3180
802,3180
803,3180
804,3180
805,3180
806,3180
807,3180
808,3180
809,3180
810,3180
811,3180
812,3180
813,3180
814,3180
815,3180
816,3180
817,3180
818,3180
819,3180
820,3180
821,3180
822,3180
823,3180
824,3180
825,3180
826,3180
827,3180
828,3180
829,3180
830,3180
831,3180
832,3180
833,3180
834,3180
835,3180
836,3180
837,3180
838,3180
839,3180
840,3180
841,3180
842,3180
843,3180
844,3180
845,3180
846,3180
847,3180
848,3180
849,3180
850,3180
851,3180
852,3180
853,3180
854,3180
855,3180
856,3180
857,3180
858,3180
859,3180
860,3180
861,3180
862,3180
863,3180
864,3180
865,3180
866,3180
867,3180
868,3180
869,3180
870,3180
871,3180
872,3180
873,3180
874,3180
875,3180
876,3180
877,3180
878,3180
879,3180
880,3180
881,3180
882,3180
883,3180
884,3180
885,3180
886,3180
887,3180
888,3180
889,3180
890,3180
891,3180
892,3180
