*Hour,Imports_price
1,30.58
2,30.58
3,30.58
4,30.58
5,30.58
6,30.58
7,30.58
8,30.58
9,30.58
10,30.58
11,30.58
12,30.58
13,30.58
14,30.58
15,30.58
16,30.58
17,30.58
18,30.58
19,30.58
20,30.58
21,30.58
22,30.58
23,30.58
24,30.58
25,30.58
26,30.58
27,30.58
28,30.58
29,30.58
30,30.58
31,30.58
32,30.58
33,30.58
34,30.58
35,30.58
36,30.58
37,30.58
38,30.58
39,30.58
40,30.58
41,30.58
42,30.58
43,30.58
44,30.58
45,30.58
46,30.58
47,30.58
48,30.58
49,30.58
50,30.58
51,30.58
52,30.58
53,30.58
54,30.58
55,30.58
56,30.58
57,30.58
58,30.58
59,30.58
60,30.58
61,30.58
62,30.58
63,30.58
64,30.58
65,30.58
66,30.58
67,30.58
68,30.58
69,30.58
70,30.58
71,30.58
72,30.58
73,30.58
74,30.58
75,30.58
76,30.58
77,30.58
78,30.58
79,30.58
80,30.58
81,30.58
82,30.58
83,30.58
84,30.58
85,30.58
86,30.58
87,30.58
88,30.58
89,30.58
90,30.58
91,30.58
92,30.58
93,30.58
94,30.58
95,30.58
96,30.58
97,30.58
98,30.58
99,30.58
100,30.58
101,30.58
102,30.58
103,30.58
104,30.58
105,30.58
106,30.58
107,30.58
108,30.58
109,30.58
110,30.58
111,30.58
112,30.58
113,30.58
114,30.58
115,30.58
116,30.58
117,30.58
118,30.58
119,30.58
120,30.58
121,30.58
122,30.58
123,30.58
124,30.58
125,30.58
126,30.58
127,30.58
128,30.58
129,30.58
130,30.58
131,30.58
132,30.58
133,30.58
134,30.58
135,30.58
136,30.58
137,30.58
138,30.58
139,30.58
140,30.58
141,30.58
142,30.58
143,30.58
144,30.58
145,30.58
146,30.58
147,30.58
148,30.58
149,30.58
150,30.58
151,30.58
152,30.58
153,30.58
154,30.58
155,30.58
156,30.58
157,30.58
158,30.58
159,30.58
160,30.58
161,30.58
162,30.58
163,30.58
164,30.58
165,30.58
166,30.58
167,30.58
168,30.58
169,30.58
170,30.58
171,30.58
172,30.58
173,30.58
174,30.58
175,30.58
176,30.58
177,30.58
178,30.58
179,30.58
180,30.58
181,30.58
182,30.58
183,30.58
184,30.58
185,30.58
186,30.58
187,30.58
188,30.58
189,30.58
190,30.58
191,30.58
192,30.58
193,30.58
194,30.58
195,30.58
196,30.58
197,30.58
198,30.58
199,30.58
200,30.58
201,30.58
202,30.58
203,30.58
204,30.58
205,30.58
206,30.58
207,30.58
208,30.58
209,30.58
210,30.58
211,30.58
212,30.58
213,30.58
214,30.58
215,30.58
216,30.58
217,30.58
218,30.58
219,30.58
220,30.58
221,30.58
222,30.58
223,30.58
224,30.58
225,30.58
226,30.58
227,30.58
228,30.58
229,30.58
230,30.58
231,30.58
232,30.58
233,30.58
234,30.58
235,30.58
236,30.58
