*Hour,VarDemCharge
1,191
2,191
3,191
4,191
5,191
6,191
7,191
8,191
9,191
10,191
11,191
12,191
13,191
14,191
15,191
16,191
17,191
18,191
19,191
20,191
21,191
22,191
23,191
24,191
25,191
26,191
27,191
28,191
29,191
30,191
31,191
32,191
33,191
34,191
35,191
36,191
37,191
38,191
39,191
40,191
41,191
42,191
43,191
44,191
45,191
46,191
47,191
48,191
49,191
50,191
51,191
52,191
53,191
54,191
55,191
56,192.3
57,192.3
58,192.3
59,192.3
60,192.3
61,192.3
62,192.3
63,192.3
64,192.3
65,192.3
66,192.3
67,192.3
68,192.3
69,191
70,191
71,191
72,191
73,191
74,191
75,191
76,191
77,191
78,191
79,191
80,192.3
81,192.3
82,192.3
83,192.3
84,192.3
85,192.3
86,192.3
87,192.3
88,192.3
89,192.3
90,192.3
91,192.3
92,192.3
93,191
94,191
95,191
96,191
97,191
98,191
99,191
100,191
101,191
102,191
103,191
104,192.3
105,192.3
106,192.3
107,192.3
108,192.3
109,192.3
110,192.3
111,192.3
112,192.3
113,192.3
114,192.3
115,192.3
116,192.3
117,191
118,191
119,191
120,191
121,191
122,191
123,191
124,191
125,191
126,191
127,191
128,192.3
129,192.3
130,192.3
131,192.3
132,192.3
133,192.3
134,192.3
135,192.3
136,192.3
137,192.3
138,192.3
139,192.3
140,192.3
141,191
142,191
143,191
144,191
145,191
146,191
147,191
148,191
149,191
150,191
151,191
152,192.3
153,192.3
154,192.3
155,192.3
156,192.3
157,192.3
158,192.3
159,192.3
160,192.3
161,192.3
162,192.3
163,192.3
164,192.3
165,191
166,191
167,191
168,191
169,191
170,191
171,191
172,191
173,191
174,191
175,191
176,191
177,191
178,191
179,191
180,191
181,191
182,191
183,191
184,191
185,191
186,191
187,191
188,191
189,191
190,191
191,191
192,191
193,191
194,191
195,191
196,191
197,191
198,191
199,191
200,191
201,191
202,191
203,191
204,191
205,191
206,191
207,191
208,191
209,191
210,191
211,191
212,191
213,191
214,191
215,191
216,191
217,191
218,191
219,191
220,191
221,191
222,191
223,191
224,192.3
225,192.3
226,192.3
227,192.3
228,192.3
229,192.3
230,192.3
231,192.3
232,192.3
233,192.3
234,192.3
235,192.3
236,192.3
237,191
238,191
239,191
240,191
241,191
242,191
243,191
244,191
245,191
246,191
247,191
248,192.3
249,192.3
250,192.3
251,192.3
252,192.3
253,192.3
254,192.3
255,192.3
256,192.3
257,192.3
258,192.3
259,192.3
260,192.3
261,191
262,191
263,191
264,191
265,191
266,191
267,191
268,191
269,191
270,191
271,191
272,192.3
273,192.3
274,192.3
275,192.3
276,192.3
277,192.3
278,192.3
279,192.3
280,192.3
281,192.3
282,192.3
283,192.3
284,192.3
285,191
286,191
287,191
288,191
289,191
290,191
291,191
292,191
293,191
294,191
295,191
296,192.3
297,192.3
298,192.3
299,192.3
300,192.3
301,192.3
302,192.3
303,192.3
304,192.3
305,192.3
306,192.3
307,192.3
308,192.3
309,191
310,191
311,191
312,191
313,191
314,191
315,191
316,191
317,191
318,191
319,191
320,192.3
321,192.3
322,192.3
323,192.3
324,192.3
325,192.3
326,192.3
327,192.3
328,192.3
329,192.3
330,192.3
331,192.3
332,192.3
333,191
334,191
335,191
336,191
337,191
338,191
339,191
340,191
341,191
342,191
343,191
344,191
345,191
346,191
347,191
348,191
349,191
350,191
351,191
352,191
353,191
354,191
355,191
356,191
357,191
358,191
359,191
360,191
361,191
362,191
363,191
364,191
365,191
366,191
367,191
368,191
369,191
370,191
371,191
372,191
373,191
374,191
375,191
376,191
377,191
378,191
379,191
380,191
381,191
382,191
383,191
384,191
385,191
386,191
387,191
388,191
389,191
390,191
391,191
392,192.3
393,192.3
394,192.3
395,192.3
396,192.3
397,192.3
398,192.3
399,192.3
400,192.3
401,192.3
402,192.3
403,192.3
404,192.3
405,191
406,191
407,191
408,191
409,191
410,191
411,191
412,191
413,191
414,191
415,191
416,192.3
417,192.3
418,192.3
419,192.3
420,192.3
421,192.3
422,192.3
423,192.3
424,192.3
425,192.3
426,192.3
427,192.3
428,192.3
429,191
430,191
431,191
432,191
433,191
434,191
435,191
436,191
437,191
438,191
439,191
440,192.3
441,192.3
442,192.3
443,192.3
444,192.3
445,192.3
446,192.3
447,192.3
448,192.3
449,192.3
450,192.3
451,192.3
452,192.3
453,191
454,191
455,191
456,191
457,191
458,191
459,191
460,191
461,191
462,191
463,191
464,192.3
465,192.3
466,192.3
467,192.3
468,192.3
469,192.3
470,192.3
471,192.3
472,192.3
473,192.3
474,192.3
475,192.3
476,192.3
477,191
478,191
479,191
480,191
481,191
482,191
483,191
484,191
485,191
486,191
487,191
488,192.3
489,192.3
490,192.3
491,192.3
492,192.3
493,192.3
494,192.3
495,192.3
496,192.3
497,192.3
498,192.3
499,192.3
500,192.3
501,191
502,191
503,191
504,191
505,191
506,191
507,191
508,191
509,191
510,191
511,191
512,191
513,191
514,191
515,191
516,191
517,191
518,191
519,191
520,191
521,191
522,191
523,191
524,191
525,191
526,191
527,191
528,191
529,191
530,191
531,191
532,191
533,191
534,191
535,191
536,191
537,191
538,191
539,191
540,191
541,191
542,191
543,191
544,191
545,191
546,191
547,191
548,191
549,191
550,191
551,191
552,191
553,191
554,191
555,191
556,191
557,191
558,191
559,191
560,192.3
561,192.3
562,192.3
563,192.3
564,192.3
565,192.3
566,192.3
567,192.3
568,192.3
569,192.3
570,192.3
571,192.3
572,192.3
573,191
574,191
575,191
576,191
577,191
578,191
579,191
580,191
581,191
582,191
583,191
584,192.3
585,192.3
586,192.3
587,192.3
588,192.3
589,192.3
590,192.3
591,192.3
592,192.3
593,192.3
594,192.3
595,192.3
596,192.3
597,191
598,191
599,191
600,191
601,191
602,191
603,191
604,191
605,191
606,191
607,191
608,192.3
609,192.3
610,192.3
611,192.3
612,192.3
613,192.3
614,192.3
615,192.3
616,192.3
617,192.3
618,192.3
619,192.3
620,192.3
621,191
622,191
623,191
624,191
625,191
626,191
627,191
628,191
629,191
630,191
631,191
632,192.3
633,192.3
634,192.3
635,192.3
636,192.3
637,192.3
638,192.3
639,192.3
640,192.3
641,192.3
642,192.3
643,192.3
644,192.3
645,191
646,191
647,191
648,191
649,191
650,191
651,191
652,191
653,191
654,191
655,191
656,192.3
657,192.3
658,192.3
659,192.3
660,192.3
661,192.3
662,192.3
663,192.3
664,192.3
665,192.3
666,192.3
667,192.3
668,192.3
669,191
670,191
671,191
672,191
673,191
674,191
675,191
676,191
677,191
678,191
679,191
680,191
681,191
682,191
683,191
684,191
685,191
686,191
687,191
688,191
689,191
690,191
691,191
692,191
693,191
694,191
695,191
696,191
697,191
698,191
699,191
700,191
701,191
702,191
703,191
704,191
705,191
706,191
707,191
708,191
709,191
710,191
711,191
712,191
713,191
714,191
715,191
716,191
717,191
718,191
719,191
720,191
721,191
722,191
723,191
724,191
725,191
726,191
727,191
728,192.3
729,192.3
730,192.3
731,192.3
732,192.3
733,192.3
734,192.3
735,192.3
736,192.3
737,192.3
738,192.3
739,192.3
740,192.3
741,191
742,191
743,191
744,191
745,191
746,191
747,191
748,191
749,191
750,191
751,191
752,192.3
753,192.3
754,192.3
755,192.3
756,192.3
757,192.3
758,192.3
759,192.3
760,192.3
761,192.3
762,192.3
763,192.3
764,192.3
765,191
766,191
767,191
768,191
769,191
770,191
771,191
772,191
773,191
774,191
775,191
776,192.3
777,192.3
778,192.3
779,192.3
780,192.3
781,192.3
782,192.3
783,192.3
784,192.3
785,192.3
786,192.3
787,192.3
788,192.3
789,191
790,191
791,191
792,191
793,191
794,191
795,191
796,191
797,191
798,191
799,191
800,192.3
801,192.3
802,192.3
803,192.3
804,192.3
805,192.3
