"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Li-Ion","1",0.00000,0.00000,0.00000
"1","Vanadium","1",0.00000,0.00000,0.00000
"1","PHS","1",0.00000,0.00000,0.00000
"1","H2","1",0.00000,3.00000,109.09858
"1","Li-Ion","2",0.00000,0.00000,0.00000
"1","Vanadium","2",0.00000,0.00000,0.00000
"1","PHS","2",0.00000,0.00000,0.00000
"1","H2","2",0.00000,3.00000,104.35516
"1","Li-Ion","3",0.00000,0.00000,0.00000
"1","Vanadium","3",0.00000,0.00000,0.00000
"1","PHS","3",0.00000,0.00000,0.00000
"1","H2","3",0.00000,3.00000,99.61175
"1","Li-Ion","4",0.00000,0.00000,0.00000
"1","Vanadium","4",0.00000,0.00000,0.00000
"1","PHS","4",0.00000,0.00000,0.00000
"1","H2","4",0.00000,3.00000,94.86833
"1","Li-Ion","5",0.00000,0.00000,0.00000
"1","Vanadium","5",0.00000,0.00000,0.00000
"1","PHS","5",0.00000,0.00000,0.00000
"1","H2","5",0.00000,3.00000,90.12491
"1","Li-Ion","6",0.00000,0.00000,0.00000
"1","Vanadium","6",0.00000,0.00000,0.00000
"1","PHS","6",0.00000,0.00000,0.00000
"1","H2","6",0.00000,3.00000,85.38150
"1","Li-Ion","7",0.00000,0.00000,0.00000
"1","Vanadium","7",0.00000,0.00000,0.00000
"1","PHS","7",0.00000,0.00000,0.00000
"1","H2","7",0.00000,3.00000,80.63808
"1","Li-Ion","8",0.00000,0.00000,0.00000
"1","Vanadium","8",0.00000,0.00000,0.00000
"1","PHS","8",0.00000,0.00000,0.00000
"1","H2","8",0.00000,3.00000,75.89466
"1","Li-Ion","9",0.00000,0.00000,0.00000
"1","Vanadium","9",0.00000,0.00000,0.00000
"1","PHS","9",0.00000,0.00000,0.00000
"1","H2","9",0.00000,3.00000,71.15125
"1","Li-Ion","10",0.00000,0.00000,0.00000
"1","Vanadium","10",0.00000,0.00000,0.00000
"1","PHS","10",0.00000,0.00000,0.00000
"1","H2","10",0.00000,3.00000,66.40783
"1","Li-Ion","11",0.00000,0.00000,0.00000
"1","Vanadium","11",0.00000,0.00000,0.00000
"1","PHS","11",0.00000,0.00000,0.00000
"1","H2","11",0.00000,3.00000,61.66441
"1","Li-Ion","12",0.00000,0.00000,0.00000
"1","Vanadium","12",0.00000,0.00000,0.00000
"1","PHS","12",0.00000,0.00000,0.00000
"1","H2","12",0.00000,3.00000,56.92100
"1","Li-Ion","13",0.00000,0.00000,0.00000
"1","Vanadium","13",0.00000,0.00000,0.00000
"1","PHS","13",0.00000,0.00000,0.00000
"1","H2","13",0.00000,3.00000,52.17758
"1","Li-Ion","14",0.00000,0.00000,0.00000
"1","Vanadium","14",0.00000,0.00000,0.00000
"1","PHS","14",0.00000,0.00000,0.00000
"1","H2","14",0.00000,3.00000,47.43416
"1","Li-Ion","15",0.00000,0.00000,0.00000
"1","Vanadium","15",0.00000,0.00000,0.00000
"1","PHS","15",0.00000,0.00000,0.00000
"1","H2","15",0.00000,3.00000,42.69075
"1","Li-Ion","16",0.00000,0.00000,0.00000
"1","Vanadium","16",0.00000,0.00000,0.00000
"1","PHS","16",0.00000,0.00000,0.00000
"1","H2","16",0.00000,3.00000,37.94733
"1","Li-Ion","17",0.00000,0.00000,0.00000
"1","Vanadium","17",0.00000,0.00000,0.00000
"1","PHS","17",0.00000,0.00000,0.00000
"1","H2","17",0.00000,3.00000,33.20392
"1","Li-Ion","18",0.00000,0.00000,0.00000
