"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Li-Ion","1",84.54774,0.00000,456.24985
"1","Vanadium","1",0.00000,0.00000,0.00000
"1","PHS","1",0.00000,0.00000,0.00000
"1","H2","1",19.06775,0.00000,11370.52701
"1","Li-Ion","2",28.85837,0.00000,482.85595
"1","Vanadium","2",0.00000,0.00000,0.00000
"1","PHS","2",0.00000,0.00000,0.00000
"1","H2","2",98.78230,0.00000,11433.00243
"1","Li-Ion","3",0.00000,0.00000,482.85595
"1","Vanadium","3",0.00000,0.00000,0.00000
"1","PHS","3",0.00000,0.00000,0.00000
"1","H2","3",51.36542,0.00000,11465.48878
"1","Li-Ion","4",0.00000,0.00000,482.85595
"1","Vanadium","4",0.00000,0.00000,0.00000
"1","PHS","4",0.00000,0.00000,0.00000
"1","H2","4",0.00000,0.00000,11465.48878
"1","Li-Ion","5",0.00000,0.00000,482.85595
"1","Vanadium","5",0.00000,0.00000,0.00000
"1","PHS","5",0.00000,0.00000,0.00000
"1","H2","5",0.00000,0.00000,11465.48878
"1","Li-Ion","6",0.00000,0.00000,482.85595
"1","Vanadium","6",0.00000,0.00000,0.00000
"1","PHS","6",0.00000,0.00000,0.00000
"1","H2","6",0.00000,0.00000,11465.48878
"1","Li-Ion","7",0.00000,0.00000,482.85595
"1","Vanadium","7",0.00000,0.00000,0.00000
"1","PHS","7",0.00000,0.00000,0.00000
"1","H2","7",0.00000,0.00000,11465.48878
"1","Li-Ion","8",0.00000,0.00000,482.85595
"1","Vanadium","8",0.00000,0.00000,0.00000
"1","PHS","8",0.00000,0.00000,0.00000
"1","H2","8",0.00000,13.63103,11443.93623
"1","Li-Ion","9",0.00000,0.00000,482.85595
"1","Vanadium","9",0.00000,0.00000,0.00000
"1","PHS","9",0.00000,0.00000,0.00000
"1","H2","9",0.00000,0.00000,11443.93623
"1","Li-Ion","10",0.00000,0.00000,482.85595
"1","Vanadium","10",0.00000,0.00000,0.00000
"1","PHS","10",0.00000,0.00000,0.00000
"1","H2","10",0.00000,3.05091,11439.11232
"1","Li-Ion","11",0.00000,0.00000,482.85595
"1","Vanadium","11",0.00000,0.00000,0.00000
"1","PHS","11",0.00000,0.00000,0.00000
"1","H2","11",0.00000,26.73103,11396.84685
"1","Li-Ion","12",0.00000,0.00000,482.85595
"1","Vanadium","12",0.00000,0.00000,0.00000
"1","PHS","12",0.00000,0.00000,0.00000
"1","H2","12",0.00000,0.00000,11396.84685
"1","Li-Ion","13",0.00000,0.00000,482.85595
"1","Vanadium","13",0.00000,0.00000,0.00000
"1","PHS","13",0.00000,0.00000,0.00000
"1","H2","13",0.00000,23.34033,11359.94256
"1","Li-Ion","14",0.00000,0.00000,482.85595
"1","Vanadium","14",0.00000,0.00000,0.00000
"1","PHS","14",0.00000,0.00000,0.00000
"1","H2","14",0.00000,16.30559,11334.16115
"1","Li-Ion","15",0.00000,0.00000,482.85595
"1","Vanadium","15",0.00000,0.00000,0.00000
"1","PHS","15",0.00000,0.00000,0.00000
"1","H2","15",0.00000,1.73703,11331.41466
"1","Li-Ion","16",0.00000,0.00000,482.85595
"1","Vanadium","16",0.00000,0.00000,0.00000
"1","PHS","16",0.00000,0.00000,0.00000
"1","H2","16",0.00000,21.37869,11297.61199
"1","Li-Ion","17",0.00000,14.38808,467.24989
"1","Vanadium","17",0.00000,0.00000,0.00000
"1","PHS","17",0.00000,0.00000,0.00000
"1","H2","17",0.00000,23.38063,11260.64397
"1","Li-Ion","18",0.00000,41.07452,422.69832
"1","Vanadium","18",0.00000,0.00000,0.00000
"1","PHS","18",0.00000,0.00000,0.00000
"1","H2","18",0.00000,0.00000,11260.64397
"1","Li-Ion","19",0.00000,39.43103,379.92937
"1","Vanadium","19",0.00000,0.00000,0.00000
"1","PHS","19",0.00000,0.00000,0.00000
"1","H2","19",0.00000,0.00000,11260.64397
"1","Li-Ion","20",0.00000,35.93103,340.95670
"1","Vanadium","20",0.00000,0.00000,0.00000
"1","PHS","20",0.00000,0.00000,0.00000
"1","H2","20",0.00000,0.00000,11260.64397
"1","Li-Ion","21",0.00000,32.23103,305.99724
"1","Vanadium","21",0.00000,0.00000,0.00000
"1","PHS","21",0.00000,0.00000,0.00000
"1","H2","21",0.00000,0.00000,11260.64397
"1","Li-Ion","22",0.00000,27.23103,276.46105
"1","Vanadium","22",0.00000,0.00000,0.00000
"1","PHS","22",0.00000,0.00000,0.00000
"1","H2","22",0.00000,0.00000,11260.64397
"1","Li-Ion","23",0.00000,21.43103,253.21584
"1","Vanadium","23",0.00000,0.00000,0.00000
"1","PHS","23",0.00000,0.00000,0.00000
"1","H2","23",0.00000,0.00000,11260.64397
"1","Li-Ion","24",0.00000,15.43103,236.47854
"1","Vanadium","24",0.00000,0.00000,0.00000
"1","PHS","24",0.00000,0.00000,0.00000
"1","H2","24",0.00000,0.00000,11260.64397
"1","Li-Ion","25",0.00000,10.83103,224.73064
"1","Vanadium","25",0.00000,0.00000,0.00000
"1","PHS","25",0.00000,0.00000,0.00000
"1","H2","25",0.00000,0.00000,11260.64397
"1","Li-Ion","26",0.00000,7.63103,216.45363
"1","Vanadium","26",0.00000,0.00000,0.00000
"1","PHS","26",0.00000,0.00000,0.00000
"1","H2","26",0.00000,0.00000,11260.64397
"1","Li-Ion","27",0.00000,5.83103,210.12900
"1","Vanadium","27",0.00000,0.00000,0.00000
"1","PHS","27",0.00000,0.00000,0.00000
"1","H2","27",0.00000,0.00000,11260.64397
"1","Li-Ion","28",0.00000,5.33103,204.34669
"1","Vanadium","28",0.00000,0.00000,0.00000
"1","PHS","28",0.00000,0.00000,0.00000
"1","H2","28",0.00000,0.00000,11260.64397
"1","Li-Ion","29",0.00000,0.00000,204.34669
"1","Vanadium","29",0.00000,0.00000,0.00000
"1","PHS","29",0.00000,0.00000,0.00000
"1","H2","29",0.00000,0.00000,11260.64397
"1","Li-Ion","30",0.00000,0.00000,204.34669
"1","Vanadium","30",0.00000,0.00000,0.00000
"1","PHS","30",0.00000,0.00000,0.00000
"1","H2","30",0.00000,0.00000,11260.64397
"1","Li-Ion","31",0.00000,0.00000,204.34669
"1","Vanadium","31",0.00000,0.00000,0.00000
"1","PHS","31",0.00000,0.00000,0.00000
"1","H2","31",0.00000,0.00000,11260.64397
"1","Li-Ion","32",0.00000,0.00000,204.34669
"1","Vanadium","32",0.00000,0.00000,0.00000
"1","PHS","32",0.00000,0.00000,0.00000
"1","H2","32",0.00000,0.00000,11260.64397
"1","Li-Ion","33",0.00000,4.67532,199.27559
"1","Vanadium","33",0.00000,0.00000,0.00000
"1","PHS","33",0.00000,0.00000,0.00000
"1","H2","33",0.00000,0.00000,11260.64397
"1","Li-Ion","34",0.00000,15.34505,182.63154
"1","Vanadium","34",0.00000,0.00000,0.00000
"1","PHS","34",0.00000,0.00000,0.00000
"1","H2","34",0.00000,0.00000,11260.64397
"1","Li-Ion","35",0.00000,0.00000,182.63154
"1","Vanadium","35",0.00000,0.00000,0.00000
"1","PHS","35",0.00000,0.00000,0.00000
"1","H2","35",0.00000,0.00000,11260.64397
"1","Li-Ion","36",0.00000,26.53980,153.84509
"1","Vanadium","36",0.00000,0.00000,0.00000
"1","PHS","36",0.00000,0.00000,0.00000
"1","H2","36",0.00000,0.00000,11260.64397
"1","Li-Ion","37",0.00000,0.00000,153.84509
"1","Vanadium","37",0.00000,0.00000,0.00000
"1","PHS","37",0.00000,0.00000,0.00000
"1","H2","37",0.00000,0.00000,11260.64397
"1","Li-Ion","38",0.00000,0.00000,153.84509
"1","Vanadium","38",0.00000,0.00000,0.00000
"1","PHS","38",0.00000,0.00000,0.00000
"1","H2","38",0.00000,0.00000,11260.64397
"1","Li-Ion","39",0.00000,0.00000,153.84509
"1","Vanadium","39",0.00000,0.00000,0.00000
"1","PHS","39",0.00000,0.00000,0.00000
