hour,EUE,USE_hours,max_unserved_MW,objective_value,solver_status,solve_time_s,truncated,error_message
1,0.0,0,0.0,1940898.1707210545,optimal,3.371795300001395,False,
2,0.0,0,0.0,1888389.3777540463,optimal,3.3822529000026407,False,
3,0.0,0,0.0,1857003.8206511068,optimal,3.0255537000048207,False,
4,0.0,0,0.0,1863009.606556163,optimal,3.022733599995263,False,
5,0.0,0,0.0,1882098.4697283823,optimal,2.9391119000065373,False,
6,0.0,0,0.0,1909966.9563645734,optimal,2.9562436000123853,False,
7,0.0,0,0.0,1901559.2837869783,optimal,2.7406806999933906,False,
8,0.0,0,0.0,1934333.1474336616,optimal,2.647002900004736,False,
9,0.0,0,0.0,1952374.2740638987,optimal,2.218373199997586,False,
10,0.0,0,0.0,1976517.074415341,optimal,2.245509900007164,False,
11,0.0,0,0.0,2023988.4121219548,optimal,2.0549307000037516,False,
12,0.0,0,0.0,2035809.8440241353,optimal,2.0358047999907285,False,
13,0.0,0,0.0,2055898.8136347407,optimal,1.964146400001482,False,
14,0.0,0,0.0,2070066.4093183512,optimal,1.7516703000001144,False,
15,0.0,0,0.0,2077629.9313308247,optimal,1.829152599995723,False,
16,0.0,0,0.0,2107682.5309516746,optimal,1.6943067999964114,False,
17,0.0,0,0.0,2155825.1684145173,optimal,2.229081400000723,False,
18,0.0,0,0.0,2200018.024342407,optimal,1.7862442000041483,False,
19,0.0,0,0.0,2248475.3205940346,optimal,1.8429179999948246,False,
20,0.0,0,0.0,2285634.683269786,optimal,1.5091867000010097,False,
21,0.0,0,0.0,2333055.1335600936,optimal,1.4472815000044648,False,
22,0.0,0,0.0,2356660.238689699,optimal,0.12086539999290835,False,
23,0.0,0,0.0,2381978.5354455705,optimal,0.1243082000000868,False,
24,0.0,0,0.0,2408349.2043382726,optimal,0.10676939999393653,False,
25,0.0,0,0.0,2435337.305608561,optimal,0.13814389999606647,False,
26,0.0,0,0.0,2458618.0988627244,optimal,0.1127717999916058,False,
27,0.0,0,0.0,2472741.2564462624,optimal,0.2230956999992486,False,
28,0.0,0,0.0,2480614.132423403,optimal,0.1396110000059707,False,
29,0.0,0,0.0,2487757.6709977174,optimal,0.14780940000491682,False,
30,0.0,0,0.0,2488781.3775205864,optimal,0.109084099996835,False,
31,0.0,0,0.0,2490371.931686928,optimal,0.2062212000018917,False,
32,0.0,0,0.0,2495796.7087615663,optimal,0.17910889998893254,False,
33,0.0,0,0.0,2514187.5586284534,optimal,0.15869180001027416,False,
34,0.0,0,0.0,2540648.9844397176,optimal,0.17590410000411794,False,
35,0.0,0,0.0,2558049.3122076658,optimal,0.1117985999881057,False,
36,0.0,0,0.0,2594145.138289435,optimal,0.10814260000188369,False,
37,0.0,0,0.0,2620357.1282922486,optimal,0.09774380001181271,False,
38,0.0,0,0.0,2619195.6960438024,optimal,0.30010930000571534,False,
39,0.0,0,0.0,2623058.013082994,optimal,0.2867130999948131,False,
40,0.0,0,0.0,2617664.871230514,optimal,0.21713920000183862,False,
41,0.0,0,0.0,2628796.1632525884,optimal,0.15345640000305139,False,
42,0.0,0,0.0,2636401.924442818,optimal,0.14136629999848083,False,
43,0.0,0,0.0,2638305.8627905045,optimal,0.07867839999380521,False,
44,0.0,0,0.0,2654766.2264716197,optimal,0.0787073999963468,False,
45,0.0,0,0.0,2670119.452861829,optimal,0.1390185000054771,False,
46,0.0,0,0.0,2685517.099317663,optimal,0.11301169999933336,False,
47,0.0,0,0.0,2704553.369880841,optimal,0.10385780000069644,False,
48,0.0,0,0.0,2721739.6971796304,optimal,0.11358660001133103,False,
49,0.0,0,0.0,2738984.312418,optimal,0.0709558999951696,False,
50,0.0,0,0.0,2755013.597425345,optimal,0.0987094000010984,False,
51,0.0,0,0.0,2768621.7314897133,optimal,0.09666540000762325,False,
52,0.0,0,0.0,2774497.393448207,optimal,0.08690890000434592,False,
53,0.0,0,0.0,2774304.2337255995,optimal,0.12207289999059867,False,
54,0.0,0,0.0,2799927.163186702,optimal,0.16488330000720453,False,
55,0.0,0,0.0,2815172.8778426456,optimal,0.10142659999837633,False,
56,0.0,0,0.0,2827669.1499721245,optimal,0.08945120000862516,False,
57,0.0,0,0.0,2832294.4024298997,optimal,0.07580120000056922,False,
58,0.0,0,0.0,2833959.7719149454,optimal,0.09513950000109617,False,
59,0.0,0,0.0,2837899.564165842,optimal,0.07689779999782331,False,
60,0.0,0,0.0,2839618.2991658407,optimal,0.09018929999729153,False,
61,0.0,0,0.0,2839381.342752211,optimal,0.08806800001184456,False,
62,0.0,0,0.0,2831529.345044225,optimal,0.08303090000117663,False,
63,0.0,0,0.0,2818480.3060240475,optimal,0.09016910000354983,False,
64,0.0,0,0.0,2801687.575108736,optimal,0.08045349999156315,False,
65,0.0,0,0.0,2800400.143795061,optimal,0.07781830000749324,False,
66,0.0,0,0.0,2798635.9471129677,optimal,0.09406799999123905,False,
67,0.0,0,0.0,2801084.2171129677,optimal,0.08962020000035409,False,
68,0.0,0,0.0,2802148.1434426825,optimal,0.08977869999944232,False,
69,0.0,0,0.0,2800883.5081543885,optimal,0.13983030000235885,False,
70,0.0,0,0.0,2796377.2443971103,optimal,0.28004779999901075,False,
71,0.0,0,0.0,2796601.5247063534,optimal,0.470673199990415,False,
72,0.0,0,0.0,2800418.815881505,optimal,0.3085884000029182,False,
73,0.0,0,0.0,2806233.2047727103,optimal,0.2678063000057591,False,
74,0.0,0,0.0,2811611.9797727116,optimal,0.22756840000511147,False,
75,0.0,0,0.0,2817492.2986160032,optimal,0.12136689999897499,False,
76,0.0,0,0.0,2829664.035726277,optimal,0.13138320000143722,False,
77,0.0,0,0.0,2837713.4398948913,optimal,0.1413448000093922,False,
78,0.0,0,0.0,2845877.287530303,optimal,0.09454770000593271,False,
79,0.0,0,0.0,2859539.958384365,optimal,0.13374270001077093,False,
80,0.0,0,0.0,2870760.9182481417,optimal,0.09203810000326484,False,
81,0.0,0,0.0,2883879.2054586513,optimal,0.09605539999029133,False,
82,0.0,0,0.0,2894928.3499727775,optimal,0.10238050000043586,False,
83,0.0,0,0.0,2905606.5660625435,optimal,0.08925900000031106,False,
84,0.0,0,0.0,2903967.641939434,optimal,0.1573313999979291,False,
85,0.0,0,0.0,2895007.2986132414,optimal,0.17713260000164155,False,
86,0.0,0,0.0,2886792.4675700264,optimal,0.1192938000021968,False,
87,0.0,0,0.0,2891340.561123543,optimal,0.12773580000794027,False,
88,0.0,0,0.0,2897698.403822611,optimal,0.11121909999928903,False,
89,0.0,0,0.0,2908717.2429456348,optimal,0.09715590000269003,False,
90,0.0,0,0.0,2923307.6034490215,optimal,0.10818110000400338,False,
91,0.0,0,0.0,2927850.0294590024,optimal,0.28741550000268035,False,
92,0.0,0,0.0,2933451.374459003,optimal,0.09520419999898877,False,
93,0.0,0,0.0,2937406.7000123453,optimal,0.22929309999744873,False,
94,0.0,0,0.0,2943045.1400123457,optimal,0.2705520000017714,False,
95,0.0,0,0.0,2946643.0225992994,optimal,0.21333109999250155,False,
