start_hour,tech,recovery_end_hour,recovery_target_MWh,soc_at_recovery_end_MWh,recovery_soc_slack_MWh,soc_slack_cost_USD
1,Li-Ion,96,0.0,0.0,0.0,0.0
1,H2,96,68.30519789415153,5.390384218467771,62.91481367568376,62914.81367568376
2,Li-Ion,97,0.0,0.0,0.0,0.0
2,H2,97,68.30519789415153,4.530974410189405,63.77422348396213,63774.22348396213
3,Li-Ion,98,0.0,0.0,0.0,0.0
3,H2,98,68.30519789415153,5.151428235731243,63.15376965842029,63153.769658420286
4,Li-Ion,99,0.0,0.0,0.0,0.0
4,H2,99,68.30519789415153,6.895188677363189,61.410009216788346,61410.00921678835
5,Li-Ion,100,0.0,0.0,0.0,0.0
5,H2,100,68.30519789415153,11.181826808715076,57.12337108543646,57123.37108543646
6,Li-Ion,101,0.0,0.0,0.0,0.0
6,H2,101,68.30519789415153,14.368109603876992,53.937088290274545,53937.08829027454
7,Li-Ion,102,0.0,0.0,0.0,0.0
7,H2,102,68.30519789415153,16.64745822597524,51.65773966817629,51657.73966817629
8,Li-Ion,103,0.0,0.0,0.0,0.0
8,H2,103,68.30519789415153,16.657127296427106,51.64807059772443,51648.07059772443
9,Li-Ion,104,0.0,0.0,0.0,0.0
9,H2,104,68.30519789415153,14.885596844613907,53.419601049537626,53419.601049537625
10,Li-Ion,105,0.0,0.0,0.0,0.0
10,H2,105,68.30519789415153,12.284963510860146,56.02023438329139,56020.23438329139
11,Li-Ion,106,0.0,0.0,0.0,0.0
11,H2,106,68.30519789415153,12.206948343801304,56.09824955035023,56098.24955035023
12,Li-Ion,107,0.0,0.0,0.0,0.0
12,H2,107,68.30519789415153,16.313722714261658,51.991475179889875,51991.47517988987
13,Li-Ion,108,0.0,0.0,0.0,0.0
13,H2,108,68.30519789415153,16.493154651634125,51.812043242517404,51812.04324251741
14,Li-Ion,109,0.0,0.0,0.0,0.0
14,H2,109,68.30519789415153,19.12793646886058,49.17726142529095,49177.26142529095
15,Li-Ion,110,0.0,4.412404559513875,0.0,0.0
15,H2,110,68.30519789415153,24.078954305169198,44.22624358898233,44226.243588982325
16,Li-Ion,111,0.0,0.0,0.0,0.0
16,H2,111,68.30519789415153,25.900429380248198,42.404768513903335,42404.768513903335
17,Li-Ion,112,0.0,7.8399835001417975,0.0,0.0
17,H2,112,68.30519789415153,29.020695943897962,39.28450195025357,39284.50195025357
18,Li-Ion,113,0.0,0.0,0.0,0.0
18,H2,113,68.30519789415153,30.69588091159556,37.609316982555974,37609.316982555974
19,Li-Ion,114,0.0,0.0,0.0,0.0
19,H2,114,68.30519789415153,32.25384024643071,36.05135764772082,36051.35764772082
20,Li-Ion,115,0.0,0.0,0.0,0.0
20,H2,115,68.30519789415153,30.250773570855262,38.054424323296274,38054.424323296276
21,Li-Ion,116,0.0,0.0,0.0,0.0
21,H2,116,68.30519789415153,28.012760100645576,40.292437793505954,40292.43779350595
22,Li-Ion,117,0.0,0.0,0.0,0.0
22,H2,117,68.30519789415153,26.294487489490542,42.01071040466099,42010.71040466099
23,Li-Ion,118,0.0,0.0,0.0,0.0
23,H2,118,68.30519789415153,26.320219740277224,41.98497815387431,41984.97815387431
24,Li-Ion,119,0.0,0.0,0.0,0.0
24,H2,119,68.30519789415153,25.937716984646933,42.3674809095046,42367.4809095046
25,Li-Ion,120,0.0,0.0,0.0,0.0
25,H2,120,68.30519789415153,26.288313443294008,42.016884450857525,42016.88445085753
26,Li-Ion,121,0.0,0.0,0.0,0.0
26,H2,121,68.30519789415153,26.005009416354792,42.30018847779674,42300.188477796735
27,Li-Ion,122,0.0,0.0,0.0,0.0
27,H2,122,68.30519789415153,26.09978440214502,42.205413492006514,42205.41349200651
28,Li-Ion,123,0.0,0.0,0.0,0.0
28,H2,123,68.30519789415153,29.136207080422007,39.16899081372952,39168.99081372952
29,Li-Ion,124,0.0,0.0,0.0,0.0
29,H2,124,68.30519789415153,33.42284521177389,34.88235268237764,34882.35268237764
30,Li-Ion,125,0.0,0.0,0.0,0.0
30,H2,125,68.30519789415153,37.70948334312578,30.59571455102575,30595.71455102575
31,Li-Ion,126,0.0,0.0,0.0,0.0
31,H2,126,68.30519789415153,40.540907635426045,27.764290258725488,27764.290258725487
32,Li-Ion,127,0.0,0.0,0.0,0.0
32,H2,127,68.30519789415153,41.39966787750403,26.905530016647504,26905.530016647503
33,Li-Ion,128,0.0,0.0,0.0,0.0
33,H2,128,68.30519789415153,44.36032545299468,23.944872441156853,23944.872441156855
34,Li-Ion,129,0.0,0.0,0.0,0.0
34,H2,129,68.30519789415153,47.71740115587082,20.587796738280716,20587.796738280715
35,Li-Ion,130,0.0,0.0,0.0,0.0
35,H2,130,68.30519789415153,48.3914477948579,19.91375009929363,19913.75009929363
36,Li-Ion,131,0.0,0.0,0.0,0.0
36,H2,131,68.30519789415153,53.56218005804805,14.743017836103483,14743.017836103483
37,Li-Ion,132,0.0,0.0,0.0,0.0
37,H2,132,68.30519789415153,53.24684528834927,15.058352605802263,15058.352605802263
38,Li-Ion,133,0.0,0.0,0.0,0.0
38,H2,133,68.30519789415153,54.55166211419134,13.753535779960195,13753.535779960195
39,Li-Ion,134,0.0,0.0,0.0,0.0
39,H2,134,68.30519789415153,58.83830024554322,9.466897648608303,9466.897648608303
40,Li-Ion,135,0.0,0.0,0.0,0.0
40,H2,135,68.30519789415153,63.12493837689511,5.180259517256424,5180.259517256424
41,Li-Ion,136,0.0,0.0,0.0,0.0
41,H2,136,68.30519789415153,67.41157650824701,0.8936213859045239,893.6213859045239
42,Li-Ion,137,0.0,0.0,0.0,0.0
42,H2,137,68.30519789415153,68.30519789415153,0.0,0.0
43,Li-Ion,138,0.0,0.0,0.0,0.0
43,H2,138,68.30519789415153,68.30519789415153,0.0,0.0
44,Li-Ion,139,0.0,0.0,0.0,0.0
