hour,Load,Nuclear,Hydro,OtherRenewables,Psolar_av_3621133,Pwind_av_994997,Pthermal_83,Pthermal_98,Pthermal_106,Pthermal_147,Pthermal_162,Pthermal_163,Pthermal_167,Pthermal_170,Pthermal_221,Pthermal_223,Pthermal_224,Pthermal_235,Pthermal_241,Pcha_Li-Ion,Pcha_Vanadium,Pcha_PHS,Pcha_H2,Pdis_Li-Ion,Pdis_Vanadium,Pdis_PHS,Pdis_H2,SOC_Li-Ion,SOC_Vanadium,SOC_PHS,SOC_H2,Pimp,Pexp,Curtailment_solar,Curtailment_wind,Curtailment_total
1,3.24965,0.0,0.0,0.0,0.0,4.91196612844404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66231612844404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.290190598029692,0.0,0.0,223.85700988593817,0.0,0.0,0.0,0.0,0.0
2,3.19965,0.0,0.0,0.0,0.0,6.61385142717768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41420142717768,0.0,0.0,0.0,0.0,12.290190598029692,0.0,0.0,226.01634046603397,0.0,0.0,0.0,0.0,0.0
3,3.11066,0.0,0.0,0.0,0.0,6.18435154678104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07369154678104,0.0,0.0,0.0,0.0,12.290190598029692,0.0,0.0,227.96031368856077,0.0,0.0,0.0,0.0,0.0
4,3.05032,0.0,0.0,0.0,0.0,5.41948437493056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36916437493056,0.0,0.0,0.0,0.0,12.290190598029692,0.0,0.0,229.45870480378272,0.0,0.0,0.0,0.0,0.0
5,2.97037,0.0,0.0,0.0,0.0,5.69406435047388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72369435047388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.801312713256834,0.0,0.0,229.45870480378272,0.0,0.0,0.0,0.0,0.0
6,2.98683,0.0,0.0,0.0,0.0,4.65685085773296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6700208577329598,0.0,0.0,0.0,0.0,14.801312713256834,0.0,0.0,230.51491873386755,0.0,0.0,0.0,0.0,0.0
7,3.09655,0.0,0.0,0.0,0.0,2.77467771915972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3218722808402803,0.0,0.0,0.0,14.452193207047749,0.0,0.0,230.51491873386755,0.0,0.0,0.0,0.0,0.0
8,3.26422,0.0,0.0,0.0,0.0,2.0533668130404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2108531869596,0.0,0.0,0.0,13.138838526056125,0.0,0.0,230.51491873386755,0.0,0.0,0.0,0.0,0.0
9,3.57233,0.0,0.0,0.0,0.0,1.02444975186732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54788024813268,0.0,0.0,0.0,10.375274382583457,0.0,0.0,230.51491873386755,0.0,0.0,0.0,0.0,0.0
10,3.78589,0.0,0.0,0.0,0.0,0.18938200521204002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.184423777705767,0.0,0.0,0.4120842170821932,6.921281842651824,0.0,0.0,229.86335637697405,0.0,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16
11,3.78427,0.0,0.0,0.0,3.41984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3644299999999996,0.0,0.0,0.0,6.52600200893756,0.0,0.0,229.86335637697405,0.0,0.0,0.0,0.0,0.0
12,3.59393,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81148,0.0,0.0,6.594589999999999,0.0,0.0,0.0,0.0,11.883921831204407,0.0,0.0,234.034141303968,0.0,0.0,0.0,0.0,0.0
13,3.35793,0.0,0.0,0.0,12.56496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81148,0.0,0.0,3.395549999999999,0.0,0.0,0.0,0.0,17.241841653471255,0.0,0.0,236.18167568576496,0.0,0.0,0.0,0.0,0.0
14,3.1429,0.0,0.0,0.0,8.8296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.686699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.48472,0.0,0.0,236.18167568576496,0.0,0.0,0.0,0.0,0.0
15,3.07584,0.0,0.0,0.0,9.36432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28848,0.0,0.0,0.0,0.0,22.48472,0.0,0.0,240.1588596498481,0.0,0.0,0.0,0.0,0.0
