"Scenario","Hour","Solar PV Generation (MW)","Solar PV Curtailment (MW)","Wind Generation (MW)","Wind Curtailment (MW)","Gas CC Generation (MW)","Diesel Generation (MW)","Power from Storage and Gas CC to Storage (MW)","Imports (MW)","Exports (MW)","Hydropower (MW)"
"1","1",0.00000,0.00000,210.67925,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","2",0.00000,0.00000,231.76138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","3",0.00000,0.00000,148.39753,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","4",0.00000,0.00000,34.30196,0.00000,0.00000,0.00000,0.00000,54.39804,0.00000,0.00000
"1","5",0.00000,0.00000,34.56129,0.00000,0.00000,0.00000,0.00000,53.23871,0.00000,0.00000
"1","6",0.00000,0.00000,12.46910,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","7",0.00000,0.00000,15.07358,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","8",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","9",0.00000,0.00000,25.38949,0.00000,0.00000,0.00000,0.00000,72.41051,0.00000,0.00000
"1","10",0.00000,0.00000,21.24363,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","11",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","12",35.43614,0.00000,4.00478,0.00000,0.00000,0.00000,0.00000,68.05908,0.00000,0.00000
"1","13",7.13291,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","14",12.80336,0.00000,2.43794,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","15",7.73197,0.00000,23.44394,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","16",2.46176,0.00000,10.56560,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","17",0.00000,0.00000,2.46242,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","18",0.00000,0.00000,0.78856,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
"1","19",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,74.61272,0.00000,0.00000
