"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Li-Ion","1",0.00000,0.00000,366.05852
"1","Vanadium","1",0.00000,0.00000,0.00000
"1","PHS","1",0.00000,0.00000,0.00000
"1","H2","1",112.17925,0.00000,10905.62895
"1","Li-Ion","2",76.84052,0.00000,436.90198
"1","Vanadium","2",0.00000,0.00000,0.00000
"1","PHS","2",0.00000,0.00000,0.00000
"1","H2","2",60.22086,0.00000,10943.71596
"1","Li-Ion","3",41.43178,0.00000,475.10020
"1","Vanadium","3",0.00000,0.00000,0.00000
"1","PHS","3",0.00000,0.00000,0.00000
"1","H2","3",15.96575,0.00000,10953.81359
"1","Li-Ion","4",0.00000,0.00000,475.10020
"1","Vanadium","4",0.00000,0.00000,0.00000
"1","PHS","4",0.00000,0.00000,0.00000
"1","H2","4",0.00000,0.00000,10953.81359
"1","Li-Ion","5",0.00000,0.00000,475.10020
"1","Vanadium","5",0.00000,0.00000,0.00000
"1","PHS","5",0.00000,0.00000,0.00000
"1","H2","5",0.00000,0.00000,10953.81359
"1","Li-Ion","6",0.00000,1.41818,473.56196
"1","Vanadium","6",0.00000,0.00000,0.00000
"1","PHS","6",0.00000,0.00000,0.00000
"1","H2","6",0.00000,0.00000,10953.81359
"1","Li-Ion","7",0.00000,0.71370,472.78785
"1","Vanadium","7",0.00000,0.00000,0.00000
"1","PHS","7",0.00000,0.00000,0.00000
"1","H2","7",0.00000,0.00000,10953.81359
"1","Li-Ion","8",0.00000,18.58728,452.62711
"1","Vanadium","8",0.00000,0.00000,0.00000
"1","PHS","8",0.00000,0.00000,0.00000
"1","H2","8",0.00000,0.00000,10953.81359
"1","Li-Ion","9",0.00000,0.00000,452.62711
"1","Vanadium","9",0.00000,0.00000,0.00000
"1","PHS","9",0.00000,0.00000,0.00000
"1","H2","9",0.00000,0.00000,10953.81359
"1","Li-Ion","10",0.00000,7.14364,444.87874
"1","Vanadium","10",0.00000,0.00000,0.00000
"1","PHS","10",0.00000,0.00000,0.00000
"1","H2","10",0.00000,0.00000,10953.81359
"1","Li-Ion","11",0.00000,6.90118,437.39337
"1","Vanadium","11",0.00000,0.00000,0.00000
"1","PHS","11",0.00000,0.00000,0.00000
"1","H2","11",0.00000,24.78610,10914.62332
"1","Li-Ion","12",0.00000,0.00000,437.39337
"1","Vanadium","12",0.00000,0.00000,0.00000
"1","PHS","12",0.00000,0.00000,0.00000
"1","H2","12",0.00000,0.00000,10914.62332
"1","Li-Ion","13",0.00000,0.00000,437.39337
"1","Vanadium","13",0.00000,0.00000,0.00000
"1","PHS","13",0.00000,0.00000,0.00000
"1","H2","13",0.00000,28.45437,10869.63301
"1","Li-Ion","14",0.00000,0.00000,437.39337
"1","Vanadium","14",0.00000,0.00000,0.00000
"1","PHS","14",0.00000,0.00000,0.00000
"1","H2","14",0.00000,21.44597,10835.72396
"1","Li-Ion","15",0.00000,0.00000,437.39337
"1","Vanadium","15",0.00000,0.00000,0.00000
"1","PHS","15",0.00000,0.00000,0.00000
"1","H2","15",0.00000,5.91137,10826.37726
"1","Li-Ion","16",0.00000,25.95992,409.23588
"1","Vanadium","16",0.00000,0.00000,0.00000
"1","PHS","16",0.00000,0.00000,0.00000
"1","H2","16",0.00000,0.00000,10826.37726
"1","Li-Ion","17",0.00000,42.62486,363.00272
"1","Vanadium","17",0.00000,0.00000,0.00000
"1","PHS","17",0.00000,0.00000,0.00000
"1","H2","17",0.00000,0.00000,10826.37726
"1","Li-Ion","18",0.00000,45.99871,313.11011
"1","Vanadium","18",0.00000,0.00000,0.00000
"1","PHS","18",0.00000,0.00000,0.00000
"1","H2","18",0.00000,0.00000,10826.37726
"1","Li-Ion","19",0.00000,44.38728,264.96535
