"Metric","Technology","Scenario","Optimal Value","Unit"
"Total cost","","1",192610843.83358,"US$"
"Cost of energy","","1",230.48505,"US$/MWh"
"Capacity","GasCC","1",0.00000,"MW"
"Capacity","Diesel","1",0.00000,"MW"
"Capacity","Solar PV","1",364.76828,"MW"
"Capacity","Wind","1",287.78622,"MW"
"Capacity","All generation","1",652.55450,"MW"
"Total generation","GasCC","1",0.00000,"MWh"
"Total generation","Diesel","1",0.00000,"MWh"
"Total generation","Solar PV","1",437330.70405,"MWh"
"Total generation","Wind","1",424647.28129,"MWh"
"Total generation","Other renewables","1",0.00000,"MWh"
"Total generation","Hydro","1",0.00000,"MWh"
"Total generation","Nuclear","1",0.00000,"MWh"
"Total generation","Li-Ion","1",104936.80590,"MWh"
"Total generation","Vanadium","1",0.00000,"MWh"
"Total generation","PHS","1",0.00000,"MWh"
"Total generation","H2","1",98992.95527,"MWh"
"Total generation","All technologies","1",1065907.74651,"MWh"
"Imports","Grid","1",140705.80743,"MWh"
"Exports","Grid","1",0.00000,"MWh"
"Storage energy charging","Li-Ion","1",123455.06576,"MWh"
"Storage energy charging","Vanadium","1",0.00000,"MWh"
"Storage energy charging","PHS","1",0.00000,"MWh"
"Storage energy charging","H2","1",247482.38818,"MWh"
"Storage energy charging","All storage","1",370937.45394,"MWh"
"Total demand","","1",835676.10000,"MWh"
"CAPEX","GasCC","1",0.00000,"US$"
"CAPEX","Diesel","1",0.00000,"US$"
"CAPEX","Solar PV","1",31768840.24907,"US$"
"CAPEX","Wind","1",29861555.64395,"US$"
"CAPEX","All generation","1",61630395.89302,"US$"
"Power Capex","Li-Ion","1",2770327.75412,"US$"
"Power Capex","Vanadium","1",0.00000,"US$"
"Power Capex","PHS","1",0.00000,"US$"
"Power Capex","H2","1",36040929.08728,"US$"
"Total Power Capex","All storage","1",38811256.84140,"US$"
"Energy Capex","Li-Ion","1",12252397.77485,"US$"
"Energy Capex","Vanadium","1",0.00000,"US$"
"Energy Capex","PHS","1",0.00000,"US$"
"Energy Capex","H2","1",16591163.79169,"US$"
"Total Energy Capex","All storage","1",28843561.56655,"US$"
"Total Capex","Li-Ion","1",15022725.52897,"US$"
"Total Capex","Vanadium","1",0.00000,"US$"
"Total Capex","PHS","1",0.00000,"US$"
"Total Capex","H2","1",52632092.87897,"US$"
"Total Capex","All storage","1",67654818.40794,"US$"
"FOM","GasCC","1",0.00000,"US$"
"FOM","Diesel","1",0.00000,"US$"
"FOM","Solar PV","1",6565828.95506,"US$"
"FOM","Wind","1",8432136.32820,"US$"
"FOM","Li-Ion","1",669685.86047,"US$"
"FOM","Vanadium","1",0.00000,"US$"
"FOM","PHS","1",0.00000,"US$"
"FOM","H2","1",6252489.34361,"US$"
"FOM","All technologies","1",21920140.48734,"US$"
"VOM","GasCC","1",0.00000,"US$"
"VOM","Diesel","1",0.00000,"US$"
"VOM","Li-Ion","1",0.00000,"US$"
"VOM","Vanadium","1",0.00000,"US$"
"VOM","PHS","1",0.00000,"US$"
"VOM","H2","1",0.00000,"US$"
"VOM","Grid Imports","1",36119543.78770,"US$"
"VOM","Grid Exports","1",0.00000,"US$"
"VOM","Demand Exports","1",5285945.25758,"US$"
"VOM","All technologies","1",41405489.04528,"US$"
"OPEX","GasCC","1",0.00000,"US$"
"OPEX","Diesel","1",0.00000,"US$"
"OPEX","Solar PV","1",6565828.95506,"US$"
"OPEX","Wind","1",8432136.32820,"US$"
"OPEX","Li-Ion","1",669685.86047,"US$"
"OPEX","Vanadium","1",0.00000,"US$"
"OPEX","PHS","1",0.00000,"US$"
"OPEX","H2","1",6252489.34361,"US$"
"OPEX","All technologies","1",63325629.53262,"US$"
"Average added storage cost","All storage","1",365.69941,"US$/MWh"
"Average storage cost","All storage","1",347654.81136,"US$/MW"
"Charge power capacity","Li-Ion","1",84.77036,"MW"
"Charge power capacity","Vanadium","1",0.00000,"MW"
"Charge power capacity","PHS","1",0.00000,"MW"
"Charge power capacity","H2","1",112.08825,"MW"
"Charge power capacity","All storage","1",196.85861,"MW"
"Discharge power capacity","Li-Ion","1",84.77036,"MW"
"Discharge power capacity","Vanadium","1",0.00000,"MW"
"Discharge power capacity","PHS","1",0.00000,"MW"
"Discharge power capacity","H2","1",147.40000,"MW"
"Discharge power capacity","All storage","1",232.17036,"MW"
"Average power capacity","Li-Ion","1",84.77036,"MW"
"Average power capacity","Vanadium","1",0.00000,"MW"
"Average power capacity","PHS","1",0.00000,"MW"
"Average power capacity","H2","1",129.74413,"MW"
"Average power capacity","All storage","1",214.51449,"MW"
"Energy capacity","Li-Ion","1",484.32372,"MWh"
"Energy capacity","Vanadium","1",0.00000,"MWh"
"Energy capacity","PHS","1",0.00000,"MWh"
"Energy capacity","H2","1",10953.81359,"MWh"
"Energy capacity","All storage","1",11438.13731,"MWh"
"Discharge duration","Li-Ion","1",5.26746,"h"
"Discharge duration","Vanadium","1",0.00000,"h"
"Discharge duration","PHS","1",0.00000,"h"
"Discharge duration","H2","1",47.00000,"h"
"Equivalent number of cycles","Li-Ion","1",216.66662,"-"
"Equivalent number of cycles","Vanadium","1",0.00000,"-"
"Equivalent number of cycles","PHS","1",0.00000,"-"
"Equivalent number of cycles","H2","1",9.03731,"-"
"Renewables footprint","Solar and Wind","1",11450.46982,"acres"
