hour,Load,Nuclear,Hydro,OtherRenewables,Psolar_av_3621133,Pwind_av_994997,Pthermal_83,Pthermal_98,Pthermal_106,Pthermal_147,Pthermal_162,Pthermal_163,Pthermal_167,Pthermal_170,Pthermal_221,Pthermal_223,Pthermal_224,Pthermal_235,Pthermal_241,Pcha_Li-Ion,Pcha_Vanadium,Pcha_PHS,Pcha_H2,Pdis_Li-Ion,Pdis_Vanadium,Pdis_PHS,Pdis_H2,SOC_Li-Ion,SOC_Vanadium,SOC_PHS,SOC_H2,Pimp,Pexp,Curtailment_solar,Curtailment_wind,Curtailment_total
1,98.5,0.0,0.0,0.0,0.0,221.8157045100396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.60432064615269,0.0,0.0,53.71138386388692,0.0,0.0,0.0,0.0,377.2248848634702,0.0,0.0,13093.335776105387,0.0,0.0,0.0,0.0,0.0
2,94.7,0.0,0.0,0.0,0.0,244.01112978331153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.99985,0.0,0.0,74.31127978331152,0.0,0.0,0.0,0.0,446.37133,0.0,0.0,13140.334356096844,0.0,0.0,0.0,2.842170943040401e-14,2.842170943040401e-14
3,91.0,0.0,0.0,0.0,0.0,156.24237014048134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.24237014048134,0.0,0.0,0.0,0.0,446.37133,0.0,0.0,13181.59725401518,0.0,0.0,0.0,0.0,0.0
4,88.7,0.0,0.0,0.0,0.0,36.1149033784824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.37133,0.0,0.0,13181.59725401518,52.5850966215176,0.0,0.0,0.0,0.0
5,87.8,0.0,0.0,0.0,0.0,36.38892097444872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.37133,0.0,0.0,13181.59725401518,51.411079025551274,0.0,0.0,0.0,0.0
6,88.5,0.0,0.0,0.0,0.0,13.12821381124032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.531419049693355,0.0,0.0,0.0,442.5409682440025,0.0,0.0,13181.59725401518,71.84036713906633,0.0,0.0,5.329070518200751e-15,5.329070518200751e-15
7,90.4,0.0,0.0,0.0,0.0,15.871468620296401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6881642406372777,442.5409682440025,0.0,0.0,13177.346893152664,71.84036713906633,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15
8,93.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.726291597981913,0.0,0.0,7.63334126295176,427.6527146414896,0.0,0.0,13165.277520878528,71.84036713906633,0.0,0.0,0.0,0.0
9,97.8,0.0,0.0,0.0,0.0,26.730570428984155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7709375680504849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.36348395973346,0.0,0.0,13165.277520878528,71.84036713906633,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15
10,103.0,0.0,0.0,0.0,0.0,22.367840839273203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79179202166047,428.36348395973346,0.0,0.0,13151.376477127056,71.84036713906633,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15
11,106.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.45963286093367,428.36348395973346,0.0,0.0,13096.89101354019,71.84036713906633,0.0,0.0,0.0,0.0
