hour,EUE,USE_hours,max_unserved_MW,objective_value,solver_status,solve_time_s,truncated,error_message
1,0.0,0,0.0,660437.2444068191,optimal,0.8300486000007368,False,
2,0.0,0,0.0,610277.801439811,optimal,0.9044941999964067,False,
3,0.0,0,0.0,581179.7693368698,optimal,0.7635609999997541,False,
4,0.0,0,0.0,588607.5302419277,optimal,0.9966505999982473,False,
5,0.0,0,0.0,608252.8184141462,optimal,1.0165620999978273,False,
6,0.0,0,0.0,642140.8908894529,optimal,0.9966672000009567,False,
7,0.0,0,0.0,633618.3211638469,optimal,1.1283517999981996,False,
8,0.0,0,0.0,663886.4492460925,optimal,1.2728997000012896,False,
9,0.0,0,0.0,681111.9803242942,optimal,1.214107599997078,False,
10,0.0,0,0.0,707182.2616183725,optimal,1.2069126999995206,False,
11,0.0,0,0.0,755160.3414998597,optimal,1.139398599996639,False,
12,0.0,0,0.0,768116.771769766,optimal,1.3356308000002173,False,
13,0.0,0,0.0,788593.4187574262,optimal,1.244826699999976,False,
14,0.0,0,0.0,795317.9091998544,optimal,1.3059259000001475,False,
15,0.0,0,0.0,804691.0835893801,optimal,1.254857699997956,False,
16,0.0,0,0.0,835625.9605872859,optimal,1.2631220999974175,False,
17,0.0,0,0.0,901931.5372910385,optimal,1.0750601000036113,False,
18,0.0,0,0.0,947130.3205959819,optimal,1.16673830000218,False,
19,0.0,0,0.0,1019707.6636000085,optimal,0.27709860000322806,False,
20,0.0,0,0.0,1061087.8536528123,optimal,1.0437724000003072,False,
21,0.0,0,0.0,1098029.7555104105,optimal,1.0760377000042354,False,
22,0.0,0,0.0,1126783.06301707,optimal,1.0097587999989628,False,
23,0.0,0,0.0,1171646.3565253394,optimal,0.3018671000027098,False,
24,0.0,0,0.0,1215459.9721704398,optimal,0.31412819999968633,False,
25,0.0,0,0.0,1257319.1001931245,optimal,0.31221979999827454,False,
26,0.0,0,0.0,1284635.2458243442,optimal,0.2836399000007077,False,
27,0.0,0,0.0,1310043.5801602784,optimal,0.2725367000020924,False,
28,0.0,0,0.0,1328212.432889817,optimal,0.24640280000312487,False,
29,0.0,0,0.0,1336424.305984625,optimal,0.2659990000029211,False,
30,0.0,0,0.0,1337774.4470279887,optimal,0.24711419999948703,False,
31,0.0,0,0.0,1331278.20545681,optimal,0.23315980000188574,False,
32,0.0,0,0.0,1335669.2670519426,optimal,0.1964564000008977,False,
33,0.0,0,0.0,1359699.6679465203,optimal,0.18592000000353437,False,
34,0.0,0,0.0,1384570.3711348379,optimal,0.1685384000011254,False,
35,0.0,0,0.0,1402482.6084232808,optimal,0.1331071999957203,False,
36,0.0,0,0.0,1439522.5368821064,optimal,0.12655249999806983,False,
37,0.0,0,0.0,1454048.7439886492,optimal,0.11121680000360357,False,
38,0.0,0,0.0,1454573.8962606974,optimal,0.09613639999588486,False,
39,0.0,0,0.0,1461474.4121339703,optimal,0.17023490000428865,False,
40,0.0,0,0.0,1456963.547658541,optimal,0.08694329999707406,False,
41,0.0,0,0.0,1466380.4670576695,optimal,0.0902866999967955,False,
42,0.0,0,0.0,1472626.0782479001,optimal,0.08550629999808734,False,
43,0.0,0,0.0,1476199.2915955856,optimal,0.16558169999916572,False,
