tag,soc_frac,tech,n_anchors,slack_probability,slack_MWh_mean,slack_MWh_p95,slack_MWh_p99,slack_MWh_max,slack_fraction_mean,slack_fraction_p95,slack_cost_total_USD
0.5SOC,0.5,H2,8760,0.2117579908675799,230.97782124929802,1276.9113273999756,1276.9113273999765,4767.89100576494,0.04129443712906385,0.22828743575252686,2023365714.1438508
0.6SOC,0.6,H2,8760,0.21769406392694063,347.58686450625487,2395.5986727554155,2395.5986727554155,4867.08097476319,0.051784928402823165,0.3569061964604389,3044860933.074793
0.7SOC,0.7,H2,8760,0.23641552511415526,409.91741164520715,2745.3180592794442,3514.2860181108563,4858.141996207007,0.052346735196529305,0.3505790029815414,3590876526.0120144
0.8SOC,0.8,H2,8760,0.25662100456621006,435.1378463168201,2801.4587121488617,3804.6189741946755,5004.739480424789,0.04862147678297053,0.31302967757031713,3811807533.735344
0.9SOC,0.9,H2,8760,0.3011415525114155,417.4815403185669,2312.0261816739408,3304.94537901891,3704.238265220647,0.041465417487524706,0.22963681410211076,3657138293.1906457
1.0SOC,1.0,H2,8760,0.3681506849315068,505.66421372428044,2283.732062354185,3278.750980340866,4284.079266865715,0.04520156733905088,0.20414390775365152,4429618512.224697
0.5SOC,0.5,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
0.6SOC,0.6,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
0.7SOC,0.7,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
0.8SOC,0.8,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
0.9SOC,0.9,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
1.0SOC,1.0,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
